date,one_rep_max,mean_reps,routine,completion_rate,total_volume,max_weight,workout_day
2014-06-07,200.0,8.222222222222221,n/a,1.0,8114.0,150.0,Back
2014-06-08,73.33333333333333,10.0,n/a,0.75,1650.0,55.0,Chest
2014-06-10,300.0,10.0,n/a,1.0,12900.0,225.0,Legs
2014-06-17,73.33333333333333,8.2,n/a,1.0,1995.0,55.0,Chest
2014-06-19,320.0,8.153846153846153,n/a,1.0,10780.0,240.0,Legs
2014-06-22,340.0,8.5,n/a,1.0,11425.0,255.0,Legs
2014-06-24,200.0,7.615384615384615,n/a,1.0,6919.0,150.0,Back
2014-07-01,80.0,9.0,n/a,1.0,1910.0,60.0,Chest
2014-07-02,206.66666666666666,7.166666666666667,n/a,1.0,4663.0,155.0,Back
2014-07-07,86.66666666666667,8.166666666666666,n/a,1.0,2515.0,65.0,Chest
2014-07-09,152.0,7.666666666666667,n/a,1.0,4695.0,120.0,Back
2014-07-13,66.66666666666667,10.0,n/a,1.0,1300.0,50.0,Chest
2014-07-16,86.66666666666667,10.0,n/a,1.0,1950.0,65.0,Chest
2014-07-22,340.0,8.5,n/a,1.0,11425.0,255.0,Legs
2014-07-23,200.0,10.0,n/a,1.0,8100.0,150.0,Back
2014-07-27,213.33333333333334,7.083333333333333,n/a,0.6666666666666666,5235.0,160.0,Chest
2014-07-30,200.0,10.0,n/a,1.0,8550.0,150.0,Back
2014-08-07,1.2,4.666666666666667,n/a,1.0,14.0,1.0,Back
2014-08-08,220.0,4.333333333333333,n/a,1.0,4260.0,165.0,Chest
2014-08-14,86.66666666666667,7.833333333333333,n/a,1.0,1967.0,65.0,Back
2014-08-15,46.666666666666664,6.8,n/a,1.0,1130.0,35.0,Shoulders
2014-08-17,120.0,13.066666666666666,n/a,1.0,14030.0,80.0,Chest
2014-08-18,142.5,12.933333333333334,n/a,1.0,17840.0,95.0,Back
2014-09-03,120.0,13.066666666666666,n/a,1.0,14030.0,80.0,Chest
2014-09-06,142.5,12.933333333333334,n/a,1.0,17840.0,95.0,Back
2014-10-17,172.5,13.333333333333334,n/a,1.0,11850.0,115.0,Back
2014-10-18,120.0,14.0,n/a,1.0,5300.0,80.0,Chest
2014-11-30,221.66666666666666,7.3076923076923075,n/a,1.0,6225.0,175.0,Chest
2014-12-18,66.66666666666667,9.4,n/a,1.0,6055.0,50.0,Chest
2014-12-19,133.33333333333334,10.0,n/a,1.0,3400.0,100.0,Legs
2014-12-20,171.0,6.8,n/a,1.0,3662.0,135.0,Back
2014-12-26,180.0,8.045454545454545,n/a,1.0,10583.0,135.0,Chest
2014-12-27,66.66666666666667,10.0,n/a,1.0,1400.0,50.0,Legs
2014-12-29,66.66666666666667,10.0,n/a,1.0,1450.0,50.0,Legs
2014-12-30,202.66666666666666,7.615384615384615,n/a,1.0,9014.0,160.0,Chest
2014-12-31,200.0,7.3,n/a,1.0,4196.0,150.0,Back
2015-01-03,73.33333333333333,10.0,n/a,1.0,1550.0,55.0,Legs
2015-01-05,80.0,10.0,n/a,1.0,3450.0,60.0,Chest
2015-01-06,186.66666666666666,9.857142857142858,n/a,1.0,13320.0,140.0,Back
2015-01-09,173.33333333333334,10.0,n/a,1.0,4950.0,130.0,Back
2015-01-12,66.66666666666667,10.0,n/a,1.0,1000.0,50.0,Cardio
2015-02-15,66.66666666666667,7.3076923076923075,n/a,1.0,3835.0,50.0,Chest
2015-03-03,173.33333333333334,9.0,n/a,1.0,9700.0,130.0,Back
2015-03-15,233.33333333333334,10.0,n/a,1.0,13050.0,175.0,Legs
2015-03-19,180.0,7.428571428571429,n/a,1.0,4690.0,150.0,Chest
2015-03-21,186.66666666666666,8.333333333333334,n/a,1.0,7285.0,140.0,Back
2015-03-24,240.0,10.0,n/a,1.0,14300.0,180.0,Legs
2015-03-27,73.33333333333333,7.5,n/a,1.0,2125.0,55.0,Chest
2015-03-28,200.0,6.923076923076923,n/a,1.0,8103.0,150.0,Back
2015-06-20,120.0,10.0,n/a,1.0,6300.0,90.0,Chest
2015-06-21,46.666666666666664,10.0,n/a,1.0,2600.0,35.0,Back
2015-06-22,186.66666666666666,10.0,n/a,1.0,10550.0,140.0,Back
2015-06-24,360.0,10.0,n/a,1.0,12000.0,270.0,Legs
2015-07-24,192.0,8.4,n/a,1.0,10810.0,160.0,Back
2015-07-25,160.0,8.578947368421053,n/a,0.8421052631578947,9160.0,120.0,Legs
2015-07-26,200.0,10.0,n/a,1.0,7675.0,150.0,Shoulders
2015-07-27,106.66666666666667,7.363636363636363,n/a,1.0,4115.0,80.0,Back
