date,exercise,category,weight,reps,distance,distance_unit,time,comment,volume,one_rep_max,speed,workout_day,set_completed,routine
2014-06-07,Lat Pulldown,Back,150.0,10.0,,,,,1500.0,200.0,,Back,1,
2014-06-07,Lat Pulldown,Back,150.0,10.0,,,,,1500.0,200.0,,Back,1,
2014-06-07,Lat Pulldown,Back,150.0,10.0,,,,,1500.0,200.0,,Back,1,
2014-06-07,Seated Back Extension,Back,120.0,10.0,,,,,1200.0,160.0,,Back,1,
2014-06-07,Seated Back Extension,Back,120.0,10.0,,,,,1200.0,160.0,,Back,1,
2014-06-07,Seated Back Extension,Back,120.0,10.0,,,,,1200.0,160.0,,Back,1,
2014-06-07,Pull Up,Back,1.0,8.0,,,,,8.0,1.2666666666666666,,Back,1,
2014-06-07,Pull Up,Back,1.0,5.0,,,,,5.0,1.1666666666666667,,Back,1,
2014-06-07,Pull Up,Back,1.0,1.0,,,,,1.0,1.0333333333333334,,Back,1,
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10.0,,,,,550.0,73.33333333333333,,Chest,1,
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10.0,,,,,550.0,73.33333333333333,,Chest,1,
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10.0,,,,,550.0,73.33333333333333,,Chest,1,
2014-06-08,Push Up,Chest,0.0,10.0,,,,,0.0,0.0,,Chest,0,
2014-06-10,Seated Leg Curl Machine,Legs,210.0,10.0,,,,,2100.0,280.0,,Legs,1,
2014-06-10,Seated Leg Curl Machine,Legs,210.0,10.0,,,,,2100.0,280.0,,Legs,1,
2014-06-10,Seated Leg Curl Machine,Legs,195.0,10.0,,,,Right knee started bothering me,1950.0,260.0,,Legs,1,
2014-06-10,Leg Press,Legs,225.0,10.0,,,,,2250.0,300.0,,Legs,1,
2014-06-10,Leg Press,Legs,225.0,10.0,,,,,2250.0,300.0,,Legs,1,
2014-06-10,Leg Press,Legs,225.0,10.0,,,,,2250.0,300.0,,Legs,1,
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,10.0,,,,,550.0,73.33333333333333,,Chest,1,
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,10.0,,,,,550.0,73.33333333333333,,Chest,1,
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,8.0,,,,,440.0,69.66666666666667,,Chest,1,
2014-06-17,Dumbbell Hammer Curl,Back,35.0,8.0,,,,,280.0,44.333333333333336,,Chest,1,
2014-06-17,Dumbbell Hammer Curl,Back,35.0,5.0,,,,,175.0,40.833333333333336,,Chest,1,
2014-06-18,Stationary Bike,Cardio,,,1.4,mi,0.0,,,,inf,Cardio,0,
2014-06-18,Rowing Machine,Cardio,,,1162.0,m,0.0,,,,inf,Cardio,0,
2014-06-19,Running (Treadmill),Cardio,,,0.55,mi,0.0,"Right knee, ankle, and instep starting hurting. Never start on treadmill cold",,,inf,Legs,0,
2014-06-19,Dumbbell Hammer Curl,Back,40.0,6.0,,,,,240.0,48.0,,Legs,1,
2014-06-19,Dumbbell Hammer Curl,Back,35.0,5.0,,,,,175.0,40.833333333333336,,Legs,1,
2014-06-19,Flat Dumbbell Bench Press,Chest,60.0,10.0,,,,,600.0,80.0,,Legs,1,
2014-06-19,Flat Dumbbell Bench Press,Chest,60.0,10.0,,,,,600.0,80.0,,Legs,1,
2014-06-19,Pull Up,Back,1.0,6.0,,,,,6.0,1.2,,Legs,1,
2014-06-19,Pull Up,Back,1.0,5.0,,,,,5.0,1.1666666666666667,,Legs,1,
2014-06-19,Pull Up,Back,1.0,4.0,,,,,4.0,1.1333333333333333,,Legs,1,
2014-06-19,Leg Press,Legs,225.0,10.0,,,,,2250.0,300.0,,Legs,1,
2014-06-19,Leg Press,Legs,240.0,10.0,,,,,2400.0,320.0,,Legs,1,
2014-06-19,Leg Press,Legs,240.0,10.0,,,,,2400.0,320.0,,Legs,1,
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10.0,,,,,700.0,93.33333333333333,,Legs,1,
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10.0,,,,,700.0,93.33333333333333,,Legs,1,
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10.0,,,,,700.0,93.33333333333333,,Legs,1,
2014-06-22,Stationary Bike,Cardio,,,1.6,mi,0.0,,,,inf,Legs,0,
2014-06-22,Running (Treadmill),Cardio,,,0.63,mi,0.0,,,,inf,Legs,0,
2014-06-22,Leg Press,Legs,255.0,10.0,,,,,2550.0,340.0,,Legs,1,
2014-06-22,Leg Press,Legs,255.0,10.0,,,,,2550.0,340.0,,Legs,1,
2014-06-22,Leg Press,Legs,255.0,10.0,,,,,2550.0,340.0,,Legs,1,
2014-06-22,Standing Calf Raise Machine,Legs,135.0,10.0,,,,,1350.0,180.0,,Legs,1,
2014-06-22,Standing Calf Raise Machine,Legs,120.0,10.0,,,,,1200.0,160.0,,Legs,1,
2014-06-22,Standing Calf Raise Machine,Legs,120.0,10.0,,,,,1200.0,160.0,,Legs,1,
2014-06-22,Pull Up,Back,1.0,10.0,,,,,10.0,1.3333333333333333,,Legs,1,
2014-06-22,Pull Up,Back,1.0,6.0,,,,,6.0,1.2,,Legs,1,
2014-06-22,Pull Up,Back,1.0,5.0,,,,,5.0,1.1666666666666667,,Legs,1,
2014-06-22,Pull Up,Back,1.0,4.0,,,,,4.0,1.1333333333333333,,Legs,1,
2014-06-24,Stationary Bike,Cardio,,,1.48,mi,0.0,,,,inf,Back,0,
2014-06-24,Running (Treadmill),Cardio,,,0.56,mi,0.0,,,,inf,Back,0,
2014-06-24,Dumbbell Hammer Curl,Back,40.0,5.0,,,,,200.0,46.666666666666664,,Back,1,
