dateTime,value
09/19/16 00:00:00,"{'demographicVO2Max': 43.6732, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.6732, 'filteredDemographicVO2MaxError': 3.0}"
09/20/16 00:00:00,"{'demographicVO2Max': 43.05527, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.36168000000001, 'filteredDemographicVO2MaxError': 1.51239}"
09/21/16 00:00:00,"{'demographicVO2Max': 42.34393, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.01315, 'filteredDemographicVO2MaxError': 1.02734}"
09/22/16 00:00:00,"{'demographicVO2Max': 42.82603, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 42.9637, 'filteredDemographicVO2MaxError': 0.7926700000000001}"
09/23/16 00:00:00,"{'demographicVO2Max': 42.33064, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 42.824870000000004, 'filteredDemographicVO2MaxError': 0.6578700000000001}"
09/24/16 00:00:00,"{'demographicVO2Max': 42.316120000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 42.727740000000004, 'filteredDemographicVO2MaxError': 0.5727300000000001}"
09/25/16 00:00:00,"{'demographicVO2Max': 43.23104, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 42.81425, 'filteredDemographicVO2MaxError': 0.51568}"
09/26/16 00:00:00,"{'demographicVO2Max': 43.42642, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 42.91136, 'filteredDemographicVO2MaxError': 0.47593}"
09/27/16 00:00:00,"{'demographicVO2Max': 43.333470000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 42.974320000000006, 'filteredDemographicVO2MaxError': 0.44748000000000004}"
09/28/16 00:00:00,"{'demographicVO2Max': 43.34676, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.02729, 'filteredDemographicVO2MaxError': 0.42671000000000003}"
09/29/16 00:00:00,"{'demographicVO2Max': 43.912090000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.148610000000005, 'filteredDemographicVO2MaxError': 0.41134000000000004}"
09/30/16 00:00:00,"{'demographicVO2Max': 44.227030000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.29234, 'filteredDemographicVO2MaxError': 0.39985000000000004}"
10/01/16 00:00:00,"{'demographicVO2Max': 44.182970000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.40847, 'filteredDemographicVO2MaxError': 0.39119000000000004}"
10/02/16 00:00:00,"{'demographicVO2Max': 43.74286, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.45134, 'filteredDemographicVO2MaxError': 0.38462}"
10/03/16 00:00:00,"{'demographicVO2Max': 43.662060000000004, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.478, 'filteredDemographicVO2MaxError': 0.37962}"
10/04/16 00:00:00,"{'demographicVO2Max': 43.61684, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.49539, 'filteredDemographicVO2MaxError': 0.3758}"
10/05/16 00:00:00,"{'demographicVO2Max': 43.71685, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.52291, 'filteredDemographicVO2MaxError': 0.37287000000000003}"
10/06/16 00:00:00,"{'demographicVO2Max': 43.809340000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.55829000000001, 'filteredDemographicVO2MaxError': 0.37062}"
10/07/16 00:00:00,"{'demographicVO2Max': 43.844820000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.593520000000005, 'filteredDemographicVO2MaxError': 0.36889000000000005}"
10/08/16 00:00:00,"{'demographicVO2Max': 43.84930000000001, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.62485, 'filteredDemographicVO2MaxError': 0.36756000000000005}"
10/09/16 00:00:00,"{'demographicVO2Max': 44.09306, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.682050000000004, 'filteredDemographicVO2MaxError': 0.36654000000000003}"
10/10/16 00:00:00,"{'demographicVO2Max': 43.918470000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.71087000000001, 'filteredDemographicVO2MaxError': 0.36575}"
10/11/16 00:00:00,"{'demographicVO2Max': 44.439750000000004, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.799580000000006, 'filteredDemographicVO2MaxError': 0.36514}"
10/12/16 00:00:00,"{'demographicVO2Max': 43.71829, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.78969, 'filteredDemographicVO2MaxError': 0.36467000000000005}"
10/13/16 00:00:00,"{'demographicVO2Max': 43.472350000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.75115, 'filteredDemographicVO2MaxError': 0.36431}"
10/14/16 00:00:00,"{'demographicVO2Max': 43.101960000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.67237, 'filteredDemographicVO2MaxError': 0.36403}"
10/15/16 00:00:00,"{'demographicVO2Max': 43.718700000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.677980000000005, 'filteredDemographicVO2MaxError': 0.36381}"
10/16/16 00:00:00,"{'demographicVO2Max': 43.68578, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.678920000000005, 'filteredDemographicVO2MaxError': 0.36364}"
10/17/16 00:00:00,"{'demographicVO2Max': 43.693830000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.68072, 'filteredDemographicVO2MaxError': 0.36351000000000006}"
10/18/16 00:00:00,"{'demographicVO2Max': 43.33025000000001, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.63826, 'filteredDemographicVO2MaxError': 0.36341}"
10/19/16 00:00:00,"{'demographicVO2Max': 43.408660000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.61045, 'filteredDemographicVO2MaxError': 0.36334000000000005}"
10/20/16 00:00:00,"{'demographicVO2Max': 43.44274, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.590140000000005, 'filteredDemographicVO2MaxError': 0.36328000000000005}"
10/21/16 00:00:00,"{'demographicVO2Max': 43.21059, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.544180000000004, 'filteredDemographicVO2MaxError': 0.36324}"
10/22/16 00:00:00,"{'demographicVO2Max': 43.088930000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.48906, 'filteredDemographicVO2MaxError': 0.3632}"
10/23/16 00:00:00,"{'demographicVO2Max': 43.22628, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.457240000000006, 'filteredDemographicVO2MaxError': 0.36317000000000005}"
10/24/16 00:00:00,"{'demographicVO2Max': 43.478480000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.459810000000004, 'filteredDemographicVO2MaxError': 0.36316000000000004}"
10/25/16 00:00:00,"{'demographicVO2Max': 43.411860000000004, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.454010000000004, 'filteredDemographicVO2MaxError': 0.36314}"
10/26/16 00:00:00,"{'demographicVO2Max': 43.380770000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.44514, 'filteredDemographicVO2MaxError': 0.36313}"
10/27/16 00:00:00,"{'demographicVO2Max': 44.08428000000001, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.522510000000004, 'filteredDemographicVO2MaxError': 0.36313}"
10/28/16 00:00:00,"{'demographicVO2Max': 44.4596, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.63593, 'filteredDemographicVO2MaxError': 0.36312000000000005}"
10/29/16 00:00:00,"{'demographicVO2Max': 44.43585, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.73275, 'filteredDemographicVO2MaxError': 0.36311000000000004}"
10/30/16 00:00:00,"{'demographicVO2Max': 44.99638, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 43.885690000000004, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
10/31/16 00:00:00,"{'demographicVO2Max': 45.00498, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.02116, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/01/16 00:00:00,"{'demographicVO2Max': 44.56264, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.086690000000004, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/02/16 00:00:00,"{'demographicVO2Max': 44.888040000000004, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.18368, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/03/16 00:00:00,"{'demographicVO2Max': 45.048230000000004, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.288320000000006, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/04/16 00:00:00,"{'demographicVO2Max': 45.4275, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.426190000000005, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/05/16 00:00:00,"{'demographicVO2Max': 45.191590000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.51883, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/06/16 00:00:00,"{'demographicVO2Max': 44.754360000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.54733, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/07/16 00:00:00,"{'demographicVO2Max': 44.886700000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.58840000000001, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/08/16 00:00:00,"{'demographicVO2Max': 44.811400000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.615390000000005, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/09/16 00:00:00,"{'demographicVO2Max': 44.95412, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.656380000000006, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/10/16 00:00:00,"{'demographicVO2Max': 45.469640000000005, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.754810000000006, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/11/16 00:00:00,"{'demographicVO2Max': 45.77255, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.877990000000004, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/12/16 00:00:00,"{'demographicVO2Max': 45.22981, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 44.920570000000005, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/13/16 00:00:00,"{'demographicVO2Max': 45.72576, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 45.01802000000001, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/14/16 00:00:00,"{'demographicVO2Max': 45.31423, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 45.05387, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/15/16 00:00:00,"{'demographicVO2Max': 45.338890000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 45.08836, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/16/16 00:00:00,"{'demographicVO2Max': 45.328190000000006, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 45.117380000000004, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/17/16 00:00:00,"{'demographicVO2Max': 45.56358, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 45.171380000000006, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
11/18/16 00:00:00,"{'demographicVO2Max': 45.457, 'demographicVO2MaxError': 3.0, 'filteredDemographicVO2Max': 45.20595, 'filteredDemographicVO2MaxError': 0.36310000000000003}"
