dateTime,value
05/20/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
05/21/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
05/22/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
05/23/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
05/24/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
05/25/16 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
05/26/16 00:00:00,"{'date': '05/26/16', 'value': 69.68796348571777, 'error': 100.0}"
05/27/16 00:00:00,"{'date': '05/27/16', 'value': 67.02870082855225, 'error': 13.884297370910645}"
05/28/16 00:00:00,"{'date': '05/28/16', 'value': 67.42479419708252, 'error': 8.661454200744629}"
05/29/16 00:00:00,"{'date': '05/29/16', 'value': 66.02466487884521, 'error': 7.369269371032715}"
05/30/16 00:00:00,"{'date': '05/30/16', 'value': 67.37863063812256, 'error': 6.9761505126953125}"
05/31/16 00:00:00,"{'date': '05/31/16', 'value': 67.06245422363281, 'error': 10.855408668518066}"
06/01/16 00:00:00,"{'date': '06/01/16', 'value': 68.9260368347168, 'error': 12.561357498168945}"
06/02/16 00:00:00,"{'date': '06/02/16', 'value': 71.75839614868164, 'error': 9.992133140563965}"
06/03/16 00:00:00,"{'date': '06/03/16', 'value': 69.72213935852051, 'error': 7.739838600158691}"
06/04/16 00:00:00,"{'date': '06/04/16', 'value': 67.70112133026123, 'error': 7.092503547668457}"
06/05/16 00:00:00,"{'date': '06/05/16', 'value': 68.09205341339111, 'error': 6.8872480392456055}"
06/06/16 00:00:00,"{'date': '06/06/16', 'value': 68.59973239898682, 'error': 6.820176124572754}"
06/07/16 00:00:00,"{'date': '06/07/16', 'value': 69.51812934875488, 'error': 6.7980451583862305}"
06/08/16 00:00:00,"{'date': '06/08/16', 'value': 68.05656814575195, 'error': 6.790719032287598}"
06/09/16 00:00:00,"{'date': '06/09/16', 'value': 67.25440216064453, 'error': 6.788290977478027}"
06/10/16 00:00:00,"{'date': '06/10/16', 'value': 65.39315223693848, 'error': 6.7874860763549805}"
06/11/16 00:00:00,"{'date': '06/11/16', 'value': 66.36607265472412, 'error': 6.787219047546387}"
