dateTime,value
05/20/16 00:00:00,1440
05/21/16 00:00:00,1440
05/22/16 00:00:00,1440
05/23/16 00:00:00,1440
05/24/16 00:00:00,1440
05/25/16 00:00:00,1239
05/26/16 00:00:00,740
05/27/16 00:00:00,771
05/28/16 00:00:00,739
05/29/16 00:00:00,576
05/30/16 00:00:00,668
05/31/16 00:00:00,826
06/01/16 00:00:00,605
06/02/16 00:00:00,826
06/03/16 00:00:00,885
06/04/16 00:00:00,438
06/05/16 00:00:00,668
06/06/16 00:00:00,685
06/07/16 00:00:00,753
06/08/16 00:00:00,714
06/09/16 00:00:00,724
06/10/16 00:00:00,718
06/11/16 00:00:00,442
06/12/16 00:00:00,591
06/13/16 00:00:00,671
06/14/16 00:00:00,771
06/15/16 00:00:00,729
06/16/16 00:00:00,621
06/17/16 00:00:00,750
06/18/16 00:00:00,474
06/19/16 00:00:00,571
06/20/16 00:00:00,810
06/21/16 00:00:00,649
06/22/16 00:00:00,677
06/23/16 00:00:00,674
06/24/16 00:00:00,763
06/25/16 00:00:00,465
06/26/16 00:00:00,653
06/27/16 00:00:00,577
06/28/16 00:00:00,746
06/29/16 00:00:00,774
06/30/16 00:00:00,684
07/01/16 00:00:00,451
07/02/16 00:00:00,437
07/03/16 00:00:00,706
07/04/16 00:00:00,417
07/05/16 00:00:00,710
07/06/16 00:00:00,654
07/07/16 00:00:00,687
07/08/16 00:00:00,826
07/09/16 00:00:00,433
07/10/16 00:00:00,734
07/11/16 00:00:00,613
07/12/16 00:00:00,721
07/13/16 00:00:00,751
07/14/16 00:00:00,628
07/15/16 00:00:00,631
07/16/16 00:00:00,401
07/17/16 00:00:00,715
07/18/16 00:00:00,708
07/19/16 00:00:00,1133
07/20/16 00:00:00,655
07/21/16 00:00:00,708
07/22/16 00:00:00,767
07/23/16 00:00:00,638
07/24/16 00:00:00,852
07/25/16 00:00:00,734
07/26/16 00:00:00,767
07/27/16 00:00:00,687
07/28/16 00:00:00,624
07/29/16 00:00:00,1095
07/30/16 00:00:00,599
07/31/16 00:00:00,688
08/01/16 00:00:00,615
08/02/16 00:00:00,347
08/03/16 00:00:00,434
08/04/16 00:00:00,528
08/05/16 00:00:00,1306
08/06/16 00:00:00,666
08/07/16 00:00:00,594
08/08/16 00:00:00,460
08/09/16 00:00:00,568
08/10/16 00:00:00,560
08/11/16 00:00:00,660
08/12/16 00:00:00,580
08/13/16 00:00:00,785
08/14/16 00:00:00,687
08/15/16 00:00:00,621
08/16/16 00:00:00,686
08/17/16 00:00:00,803
08/18/16 00:00:00,799
08/19/16 00:00:00,682
08/20/16 00:00:00,646
08/21/16 00:00:00,790
08/22/16 00:00:00,608
08/23/16 00:00:00,631
08/24/16 00:00:00,583
08/25/16 00:00:00,597
08/26/16 00:00:00,1155
08/27/16 00:00:00,681
08/28/16 00:00:00,722
08/29/16 00:00:00,612
08/30/16 00:00:00,501
08/31/16 00:00:00,747
09/01/16 00:00:00,515
09/02/16 00:00:00,456
09/03/16 00:00:00,610
09/04/16 00:00:00,963
09/05/16 00:00:00,611
09/06/16 00:00:00,725
09/07/16 00:00:00,682
09/08/16 00:00:00,722
09/09/16 00:00:00,565
09/10/16 00:00:00,550
09/11/16 00:00:00,715
09/12/16 00:00:00,671
09/13/16 00:00:00,985
09/14/16 00:00:00,738
09/15/16 00:00:00,668
09/16/16 00:00:00,1440
09/17/16 00:00:00,1440
09/18/16 00:00:00,1440
09/19/16 00:00:00,1285
09/20/16 00:00:00,732
09/21/16 00:00:00,783
09/22/16 00:00:00,604
09/23/16 00:00:00,714
09/24/16 00:00:00,533
09/25/16 00:00:00,638
09/26/16 00:00:00,614
09/27/16 00:00:00,652
09/28/16 00:00:00,1224
09/29/16 00:00:00,749
09/30/16 00:00:00,496
10/01/16 00:00:00,616
10/02/16 00:00:00,645
10/03/16 00:00:00,745
10/04/16 00:00:00,799
10/05/16 00:00:00,708
10/06/16 00:00:00,594
10/07/16 00:00:00,873
10/08/16 00:00:00,554
10/09/16 00:00:00,544
10/10/16 00:00:00,746
10/11/16 00:00:00,717
10/12/16 00:00:00,602
10/13/16 00:00:00,613
10/14/16 00:00:00,947
10/15/16 00:00:00,599
10/16/16 00:00:00,938
10/17/16 00:00:00,638
10/18/16 00:00:00,540
10/19/16 00:00:00,683
10/20/16 00:00:00,996
10/21/16 00:00:00,560
10/22/16 00:00:00,621
10/23/16 00:00:00,692
10/24/16 00:00:00,765
