dateOfSleep,duration,efficiency,endTime,infoCode,levels,logId,minutesAfterWakeup,minutesAsleep,minutesAwake,minutesToFallAsleep,startTime,timeInBed,type
2016-06-19,32700000,88,2016-06-19T11:43:00.000,0,"{'summary': {'restless': {'count': 28, 'minutes': 64}, 'awake': {'count': 2, 'minutes': 4}, 'asleep': {'count': 0, 'minutes': 477}}, 'data': [{'dateTime': '2016-06-19T02:37:30.000', 'level': 'asleep', 'seconds': 3240}, {'dateTime': '2016-06-19T03:31:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-19T03:34:30.000', 'level': 'asleep', 'seconds': 1260}, {'dateTime': '2016-06-19T03:55:30.000', 'level': 'restless', 'seconds': 300}, {'dateTime': '2016-06-19T04:00:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-19T04:01:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T04:02:30.000', 'level': 'asleep', 'seconds': 360}, {'dateTime': '2016-06-19T04:08:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T04:09:30.000', 'level': 'asleep', 'seconds': 180}, {'dateTime': '2016-06-19T04:12:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T04:13:30.000', 'level': 'asleep', 'seconds': 2100}, {'dateTime': '2016-06-19T04:48:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T04:49:30.000', 'level': 'asleep', 'seconds': 1860}, {'dateTime': '2016-06-19T05:20:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-19T05:23:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-19T05:24:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-19T05:27:30.000', 'level': 'asleep', 'seconds': 480}, {'dateTime': '2016-06-19T05:35:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T05:36:30.000', 'level': 'asleep', 'seconds': 1380}, {'dateTime': '2016-06-19T05:59:30.000', 'level': 'restless', 'seconds': 300}, {'dateTime': '2016-06-19T06:04:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-19T06:05:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-19T06:07:30.000', 'level': 'asleep', 'seconds': 1440}, {'dateTime': '2016-06-19T06:31:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T06:32:30.000', 'level': 'asleep', 'seconds': 180}, {'dateTime': '2016-06-19T06:35:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-19T06:37:30.000', 'level': 'asleep', 'seconds': 1560}, {'dateTime': '2016-06-19T07:03:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-19T07:06:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-19T07:07:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T07:08:30.000', 'level': 'asleep', 'seconds': 720}, {'dateTime': '2016-06-19T07:20:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-19T07:22:30.000', 'level': 'asleep', 'seconds': 180}, {'dateTime': '2016-06-19T07:25:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T07:26:30.000', 'level': 'asleep', 'seconds': 2220}, {'dateTime': '2016-06-19T08:03:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-19T08:05:30.000', 'level': 'asleep', 'seconds': 360}, {'dateTime': '2016-06-19T08:11:30.000', 'level': 'restless', 'seconds': 360}, {'dateTime': '2016-06-19T08:17:30.000', 'level': 'asleep', 'seconds': 1860}, {'dateTime': '2016-06-19T08:48:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T08:49:30.000', 'level': 'asleep', 'seconds': 540}, {'dateTime': '2016-06-19T08:58:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T08:59:30.000', 'level': 'asleep', 'seconds': 540}, {'dateTime': '2016-06-19T09:08:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-19T09:11:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-19T09:12:30.000', 'level': 'restless', 'seconds': 360}, {'dateTime': '2016-06-19T09:18:30.000', 'level': 'awake', 'seconds': 180}, {'dateTime': '2016-06-19T09:21:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T09:22:30.000', 'level': 'asleep', 'seconds': 1860}, {'dateTime': '2016-06-19T09:53:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T09:54:30.000', 'level': 'asleep', 'seconds': 660}, {'dateTime': '2016-06-19T10:05:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-19T10:08:30.000', 'level': 'asleep', 'seconds': 3840}, {'dateTime': '2016-06-19T11:12:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-19T11:15:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-19T11:16:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-19T11:17:30.000', 'level': 'asleep', 'seconds': 1500}]}",11918532551,0,477,68,0,2016-06-19T02:37:30.000,545,classic
2016-06-18,32700000,94,2016-06-18T10:18:00.000,0,"{'summary': {'restless': {'count': 12, 'minutes': 26}, 'awake': {'count': 4, 'minutes': 4}, 'asleep': {'count': 0, 'minutes': 515}}, 'data': [{'dateTime': '2016-06-18T01:12:30.000', 'level': 'asleep', 'seconds': 3540}, {'dateTime': '2016-06-18T02:11:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-18T02:13:30.000', 'level': 'asleep', 'seconds': 660}, {'dateTime': '2016-06-18T02:24:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-18T02:27:30.000', 'level': 'asleep', 'seconds': 1080}, {'dateTime': '2016-06-18T02:45:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-18T02:46:30.000', 'level': 'asleep', 'seconds': 300}, {'dateTime': '2016-06-18T02:51:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-18T02:52:30.000', 'level': 'asleep', 'seconds': 1980}, {'dateTime': '2016-06-18T03:25:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-18T03:27:30.000', 'level': 'asleep', 'seconds': 3660}, {'dateTime': '2016-06-18T04:28:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-18T04:30:30.000', 'level': 'asleep', 'seconds': 240}, {'dateTime': '2016-06-18T04:34:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-18T04:35:30.000', 'level': 'asleep', 'seconds': 120}, {'dateTime': '2016-06-18T04:37:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-18T04:38:30.000', 'level': 'asleep', 'seconds': 6600}, {'dateTime': '2016-06-18T06:28:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-18T06:30:30.000', 'level': 'asleep', 'seconds': 4860}, {'dateTime': '2016-06-18T07:51:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-18T07:54:30.000', 'level': 'asleep', 'seconds': 2940}, {'dateTime': '2016-06-18T08:43:30.000', 'level': 'restless', 'seconds': 360}, {'dateTime': '2016-06-18T08:49:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-18T08:50:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-18T08:51:30.000', 'level': 'asleep', 'seconds': 300}, {'dateTime': '2016-06-18T08:56:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-18T08:57:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-18T08:58:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-18T09:00:30.000', 'level': 'asleep', 'seconds': 4620}]}",11905117648,0,515,30,0,2016-06-18T01:12:30.000,545,classic
2016-06-17,38940000,88,2016-06-17T08:16:30.000,0,"{'summary': {'restless': {'count': 31, 'minutes': 79}, 'awake': {'count': 2, 'minutes': 4}, 'asleep': {'count': 0, 'minutes': 566}}, 'data': [{'dateTime': '2016-06-16T21:27:30.000', 'level': 'asleep', 'seconds': 1860}, {'dateTime': '2016-06-16T21:58:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-16T22:00:30.000', 'level': 'asleep', 'seconds': 4380}, {'dateTime': '2016-06-16T23:13:30.000', 'level': 'restless', 'seconds': 300}, {'dateTime': '2016-06-16T23:18:30.000', 'level': 'awake', 'seconds': 180}, {'dateTime': '2016-06-16T23:21:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-16T23:22:30.000', 'level': 'asleep', 'seconds': 2580}, {'dateTime': '2016-06-17T00:05:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T00:06:30.000', 'level': 'asleep', 'seconds': 2040}, {'dateTime': '2016-06-17T00:40:30.000', 'level': 'restless', 'seconds': 720}, {'dateTime': '2016-06-17T00:52:30.000', 'level': 'asleep', 'seconds': 5220}, {'dateTime': '2016-06-17T02:19:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T02:20:30.000', 'level': 'asleep', 'seconds': 840}, {'dateTime': '2016-06-17T02:34:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T02:35:30.000', 'level': 'asleep', 'seconds': 2220}, {'dateTime': '2016-06-17T03:12:30.000', 'level': 'restless', 'seconds': 300}, {'dateTime': '2016-06-17T03:17:30.000', 'level': 'asleep', 'seconds': 540}, {'dateTime': '2016-06-17T03:26:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-17T03:29:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-17T03:30:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T03:31:30.000', 'level': 'asleep', 'seconds': 3060}, {'dateTime': '2016-06-17T04:22:30.000', 'level': 'restless', 'seconds': 300}, {'dateTime': '2016-06-17T04:27:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-17T04:28:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T04:29:30.000', 'level': 'asleep', 'seconds': 480}, {'dateTime': '2016-06-17T04:37:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T04:38:30.000', 'level': 'asleep', 'seconds': 540}, {'dateTime': '2016-06-17T04:47:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-17T04:49:30.000', 'level': 'asleep', 'seconds': 3300}, {'dateTime': '2016-06-17T05:44:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-17T05:46:30.000', 'level': 'asleep', 'seconds': 120}, {'dateTime': '2016-06-17T05:48:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T05:49:30.000', 'level': 'asleep', 'seconds': 360}, {'dateTime': '2016-06-17T05:55:30.000', 'level': 'restless', 'seconds': 540}, {'dateTime': '2016-06-17T06:04:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-17T06:05:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-17T06:07:30.000', 'level': 'asleep', 'seconds': 1800}, {'dateTime': '2016-06-17T06:37:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T06:38:30.000', 'level': 'asleep', 'seconds': 180}, {'dateTime': '2016-06-17T06:41:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T06:42:30.000', 'level': 'asleep', 'seconds': 900}, {'dateTime': '2016-06-17T06:57:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T06:58:30.000', 'level': 'asleep', 'seconds': 120}, {'dateTime': '2016-06-17T07:00:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T07:01:30.000', 'level': 'asleep', 'seconds': 180}, {'dateTime': '2016-06-17T07:04:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-17T07:07:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-17T07:08:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T07:09:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-17T07:10:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T07:11:30.000', 'level': 'asleep', 'seconds': 300}, {'dateTime': '2016-06-17T07:16:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T07:17:30.000', 'level': 'asleep', 'seconds': 900}, {'dateTime': '2016-06-17T07:32:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-17T07:34:30.000', 'level': 'asleep', 'seconds': 480}, {'dateTime': '2016-06-17T07:42:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-17T07:43:30.000', 'level': 'asleep', 'seconds': 660}, {'dateTime': '2016-06-17T07:54:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-17T07:56:30.000', 'level': 'asleep', 'seconds': 540}, {'dateTime': '2016-06-17T08:05:30.000', 'level': 'restless', 'seconds': 240}, {'dateTime': '2016-06-17T08:09:30.000', 'level': 'asleep', 'seconds': 120}, {'dateTime': '2016-06-17T08:11:30.000', 'level': 'restless', 'seconds': 300}]}",11895360036,5,566,78,0,2016-06-16T21:27:30.000,649,classic
2016-06-16,24180000,97,2016-06-16T06:00:30.000,0,"{'summary': {'restless': {'count': 8, 'minutes': 14}, 'awake': {'count': 0, 'minutes': 0}, 'asleep': {'count': 0, 'minutes': 389}}, 'data': [{'dateTime': '2016-06-15T23:17:30.000', 'level': 'asleep', 'seconds': 3420}, {'dateTime': '2016-06-16T00:14:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-16T00:16:30.000', 'level': 'asleep', 'seconds': 2040}, {'dateTime': '2016-06-16T00:50:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-16T00:51:30.000', 'level': 'asleep', 'seconds': 4680}, {'dateTime': '2016-06-16T02:09:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-16T02:11:30.000', 'level': 'asleep', 'seconds': 1080}, {'dateTime': '2016-06-16T02:29:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-16T02:31:30.000', 'level': 'asleep', 'seconds': 480}, {'dateTime': '2016-06-16T02:39:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-16T02:41:30.000', 'level': 'asleep', 'seconds': 780}, {'dateTime': '2016-06-16T02:54:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-16T02:56:30.000', 'level': 'asleep', 'seconds': 7620}, {'dateTime': '2016-06-16T05:03:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-16T05:05:30.000', 'level': 'asleep', 'seconds': 2940}, {'dateTime': '2016-06-16T05:54:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-16T05:55:30.000', 'level': 'asleep', 'seconds': 300}]}",11886168388,0,389,14,0,2016-06-15T23:17:30.000,403,classic
2016-06-15,29340000,91,2016-06-15T07:24:30.000,0,"{'summary': {'restless': {'count': 18, 'minutes': 40}, 'awake': {'count': 3, 'minutes': 3}, 'asleep': {'count': 0, 'minutes': 446}}, 'data': [{'dateTime': '2016-06-14T23:15:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-14T23:16:30.000', 'level': 'asleep', 'seconds': 3420}, {'dateTime': '2016-06-15T00:13:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-15T00:15:30.000', 'level': 'asleep', 'seconds': 360}, {'dateTime': '2016-06-15T00:21:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T00:22:30.000', 'level': 'asleep', 'seconds': 180}, {'dateTime': '2016-06-15T00:25:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T00:26:30.000', 'level': 'asleep', 'seconds': 420}, {'dateTime': '2016-06-15T00:33:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-15T00:35:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-15T00:36:30.000', 'level': 'asleep', 'seconds': 360}, {'dateTime': '2016-06-15T00:42:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-15T00:45:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-15T00:46:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T00:47:30.000', 'level': 'asleep', 'seconds': 1020}, {'dateTime': '2016-06-15T01:04:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T01:05:30.000', 'level': 'asleep', 'seconds': 2820}, {'dateTime': '2016-06-15T01:52:30.000', 'level': 'restless', 'seconds': 240}, {'dateTime': '2016-06-15T01:56:30.000', 'level': 'asleep', 'seconds': 1560}, {'dateTime': '2016-06-15T02:22:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T02:23:30.000', 'level': 'asleep', 'seconds': 3120}, {'dateTime': '2016-06-15T03:15:30.000', 'level': 'restless', 'seconds': 360}, {'dateTime': '2016-06-15T03:21:30.000', 'level': 'asleep', 'seconds': 5460}, {'dateTime': '2016-06-15T04:52:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T04:53:30.000', 'level': 'asleep', 'seconds': 3180}, {'dateTime': '2016-06-15T05:46:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T05:47:30.000', 'level': 'asleep', 'seconds': 360}, {'dateTime': '2016-06-15T05:53:30.000', 'level': 'restless', 'seconds': 480}, {'dateTime': '2016-06-15T06:01:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-15T06:02:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-15T06:04:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-15T06:05:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T06:06:30.000', 'level': 'asleep', 'seconds': 3060}, {'dateTime': '2016-06-15T06:57:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-15T07:00:30.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-15T07:01:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-15T07:02:30.000', 'level': 'asleep', 'seconds': 1320}]}",11878150895,0,446,42,0,2016-06-14T23:15:30.000,489,classic
2016-06-14,6000000,96,2016-06-14T06:24:00.000,0,"{'summary': {'restless': {'count': 4, 'minutes': 5}, 'awake': {'count': 0, 'minutes': 0}, 'asleep': {'count': 0, 'minutes': 95}}, 'data': [{'dateTime': '2016-06-14T04:44:00.000', 'level': 'asleep', 'seconds': 2820}, {'dateTime': '2016-06-14T05:31:00.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-14T05:32:00.000', 'level': 'asleep', 'seconds': 660}, {'dateTime': '2016-06-14T05:43:00.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-14T05:44:00.000', 'level': 'asleep', 'seconds': 60}, {'dateTime': '2016-06-14T05:45:00.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-14T05:47:00.000', 'level': 'asleep', 'seconds': 2160}, {'dateTime': '2016-06-14T06:23:00.000', 'level': 'restless', 'seconds': 60}]}",11872652664,1,95,4,0,2016-06-14T04:44:00.000,100,classic
2016-06-14,18540000,98,2016-06-14T03:42:30.000,0,"{'summary': {'restless': {'count': 5, 'minutes': 7}, 'awake': {'count': 0, 'minutes': 0}, 'asleep': {'count': 0, 'minutes': 302}}, 'data': [{'dateTime': '2016-06-13T22:33:00.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-13T22:34:00.000', 'level': 'asleep', 'seconds': 840}, {'dateTime': '2016-06-13T22:48:00.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-13T22:51:00.000', 'level': 'asleep', 'seconds': 180}, {'dateTime': '2016-06-13T22:54:00.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-13T22:55:00.000', 'level': 'asleep', 'seconds': 9720}, {'dateTime': '2016-06-14T01:37:00.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-14T01:38:00.000', 'level': 'asleep', 'seconds': 3360}, {'dateTime': '2016-06-14T02:34:00.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-14T02:35:00.000', 'level': 'asleep', 'seconds': 4020}]}",11872652663,0,302,7,0,2016-06-13T22:33:00.000,309,classic
2016-06-13,18660000,95,2016-06-13T07:05:30.000,0,"{'summary': {'restless': {'count': 8, 'minutes': 18}, 'awake': {'count': 2, 'minutes': 2}, 'asleep': {'count': 0, 'minutes': 291}}, 'data': [{'dateTime': '2016-06-13T01:54:30.000', 'level': 'asleep', 'seconds': 180}, {'dateTime': '2016-06-13T01:57:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-13T01:59:30.000', 'level': 'asleep', 'seconds': 360}, {'dateTime': '2016-06-13T02:05:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-13T02:06:30.000', 'level': 'asleep', 'seconds': 4200}, {'dateTime': '2016-06-13T03:16:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-13T03:18:30.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-13T03:19:30.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-13T03:22:30.000', 'level': 'asleep', 'seconds': 1560}, {'dateTime': '2016-06-13T03:48:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-13T03:50:30.000', 'level': 'asleep', 'seconds': 3540}, {'dateTime': '2016-06-13T04:49:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-13T04:50:30.000', 'level': 'asleep', 'seconds': 1260}, {'dateTime': '2016-06-13T05:11:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-13T05:13:30.000', 'level': 'asleep', 'seconds': 5160}, {'dateTime': '2016-06-13T06:39:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-13T06:41:30.000', 'level': 'asleep', 'seconds': 1200}, {'dateTime': '2016-06-13T07:01:30.000', 'level': 'restless', 'seconds': 240}]}",11867770251,4,291,16,0,2016-06-13T01:54:30.000,311,classic
2016-06-12,8700000,97,2016-06-12T16:05:00.000,0,"{'summary': {'restless': {'count': 3, 'minutes': 4}, 'awake': {'count': 0, 'minutes': 0}, 'asleep': {'count': 0, 'minutes': 141}}, 'data': [{'dateTime': '2016-06-12T13:39:30.000', 'level': 'asleep', 'seconds': 3660}, {'dateTime': '2016-06-12T14:40:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-12T14:41:30.000', 'level': 'asleep', 'seconds': 660}, {'dateTime': '2016-06-12T14:52:30.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-12T14:53:30.000', 'level': 'asleep', 'seconds': 3240}, {'dateTime': '2016-06-12T15:47:30.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-12T15:49:30.000', 'level': 'asleep', 'seconds': 900}]}",11861362903,0,141,4,0,2016-06-12T13:39:30.000,145,classic
2016-06-12,27960000,95,2016-06-12T10:00:00.000,0,"{'summary': {'restless': {'count': 7, 'minutes': 19}, 'awake': {'count': 2, 'minutes': 2}, 'asleep': {'count': 0, 'minutes': 445}}, 'data': [{'dateTime': '2016-06-12T02:14:00.000', 'level': 'asleep', 'seconds': 3600}, {'dateTime': '2016-06-12T03:14:00.000', 'level': 'restless', 'seconds': 60}, {'dateTime': '2016-06-12T03:15:00.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-12T03:16:00.000', 'level': 'asleep', 'seconds': 360}, {'dateTime': '2016-06-12T03:22:00.000', 'level': 'restless', 'seconds': 300}, {'dateTime': '2016-06-12T03:27:00.000', 'level': 'asleep', 'seconds': 2580}, {'dateTime': '2016-06-12T04:10:00.000', 'level': 'awake', 'seconds': 60}, {'dateTime': '2016-06-12T04:11:00.000', 'level': 'asleep', 'seconds': 660}, {'dateTime': '2016-06-12T04:22:00.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-12T04:25:00.000', 'level': 'asleep', 'seconds': 3420}, {'dateTime': '2016-06-12T05:22:00.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-12T05:24:00.000', 'level': 'asleep', 'seconds': 1560}, {'dateTime': '2016-06-12T05:50:00.000', 'level': 'restless', 'seconds': 120}, {'dateTime': '2016-06-12T05:52:00.000', 'level': 'asleep', 'seconds': 1080}, {'dateTime': '2016-06-12T06:10:00.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-12T06:13:00.000', 'level': 'asleep', 'seconds': 5940}, {'dateTime': '2016-06-12T07:52:00.000', 'level': 'restless', 'seconds': 180}, {'dateTime': '2016-06-12T07:55:00.000', 'level': 'asleep', 'seconds': 7500}]}",11857172580,0,445,21,0,2016-06-12T02:14:00.000,466,classic
