dateTime,value
05/25/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 9.0, 'BELOW_DEFAULT_ZONE_1': 240.0, 'IN_DEFAULT_ZONE_1': 38.0, 'IN_DEFAULT_ZONE_3': 5.0}}"
05/26/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 64.0, 'IN_DEFAULT_ZONE_2': 1.0, 'BELOW_DEFAULT_ZONE_1': 1354.0, 'IN_DEFAULT_ZONE_3': 0.0}}"
05/27/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 0.0, 'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_1': 6.0, 'BELOW_DEFAULT_ZONE_1': 1285.0}}"
05/28/16 00:00:00,"{'valuesInZones': {'BELOW_DEFAULT_ZONE_1': 1337.0, 'IN_DEFAULT_ZONE_1': 74.0, 'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_2': 0.0}}"
05/29/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 1.0, 'BELOW_DEFAULT_ZONE_1': 1130.0, 'IN_DEFAULT_ZONE_1': 124.0, 'IN_DEFAULT_ZONE_3': 0.0}}"
05/30/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 0.0, 'BELOW_DEFAULT_ZONE_1': 1214.0, 'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_1': 217.0}}"
05/31/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 136.0, 'IN_DEFAULT_ZONE_3': 0.0, 'BELOW_DEFAULT_ZONE_1': 1256.0, 'IN_DEFAULT_ZONE_2': 3.0}}"
06/01/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 260.0, 'IN_DEFAULT_ZONE_3': 0.0, 'BELOW_DEFAULT_ZONE_1': 1176.0, 'IN_DEFAULT_ZONE_2': 1.0}}"
06/02/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 75.0, 'IN_DEFAULT_ZONE_2': 0.0, 'BELOW_DEFAULT_ZONE_1': 1092.0, 'IN_DEFAULT_ZONE_3': 4.0}}"
06/03/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_1': 132.0, 'IN_DEFAULT_ZONE_2': 0.0, 'BELOW_DEFAULT_ZONE_1': 1307.0}}"
06/04/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 4.0, 'BELOW_DEFAULT_ZONE_1': 1124.0, 'IN_DEFAULT_ZONE_3': 4.0, 'IN_DEFAULT_ZONE_1': 283.0}}"
06/05/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 0.0, 'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_1': 91.0, 'BELOW_DEFAULT_ZONE_1': 1338.0}}"
06/06/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_3': 1.0, 'IN_DEFAULT_ZONE_1': 194.0, 'IN_DEFAULT_ZONE_2': 6.0, 'BELOW_DEFAULT_ZONE_1': 1174.0}}"
06/07/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 136.0, 'BELOW_DEFAULT_ZONE_1': 1302.0, 'IN_DEFAULT_ZONE_2': 0.0, 'IN_DEFAULT_ZONE_3': 0.0}}"
06/08/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 0.0, 'BELOW_DEFAULT_ZONE_1': 1165.0, 'IN_DEFAULT_ZONE_3': 3.0, 'IN_DEFAULT_ZONE_1': 265.0}}"
06/09/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 0.0, 'BELOW_DEFAULT_ZONE_1': 1296.0, 'IN_DEFAULT_ZONE_1': 95.0, 'IN_DEFAULT_ZONE_3': 4.0}}"
06/10/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_3': 2.0, 'IN_DEFAULT_ZONE_1': 206.0, 'IN_DEFAULT_ZONE_2': 34.0, 'BELOW_DEFAULT_ZONE_1': 1112.0}}"
06/11/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 329.0, 'BELOW_DEFAULT_ZONE_1': 1069.0, 'IN_DEFAULT_ZONE_2': 27.0, 'IN_DEFAULT_ZONE_3': 5.0}}"
06/12/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_2': 0.0, 'IN_DEFAULT_ZONE_1': 109.0, 'BELOW_DEFAULT_ZONE_1': 1329.0}}"
06/13/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_2': 5.0, 'IN_DEFAULT_ZONE_1': 254.0, 'BELOW_DEFAULT_ZONE_1': 1132.0}}"
06/14/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 4.0, 'BELOW_DEFAULT_ZONE_1': 1252.0, 'IN_DEFAULT_ZONE_1': 138.0, 'IN_DEFAULT_ZONE_3': 6.0}}"
06/15/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 0.0, 'BELOW_DEFAULT_ZONE_1': 1227.0, 'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_1': 128.0}}"
06/16/16 00:00:00,"{'valuesInZones': {'BELOW_DEFAULT_ZONE_1': 1131.0, 'IN_DEFAULT_ZONE_2': 7.0, 'IN_DEFAULT_ZONE_1': 219.0, 'IN_DEFAULT_ZONE_3': 3.0}}"
06/17/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 52.0, 'IN_DEFAULT_ZONE_3': 0.0, 'BELOW_DEFAULT_ZONE_1': 1388.0, 'IN_DEFAULT_ZONE_2': 0.0}}"
06/18/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 278.0, 'IN_DEFAULT_ZONE_3': 3.0, 'BELOW_DEFAULT_ZONE_1': 1127.0, 'IN_DEFAULT_ZONE_2': 16.0}}"
06/19/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 128.0, 'BELOW_DEFAULT_ZONE_1': 1308.0, 'IN_DEFAULT_ZONE_2': 0.0, 'IN_DEFAULT_ZONE_3': 0.0}}"
06/20/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 3.0, 'BELOW_DEFAULT_ZONE_1': 1204.0, 'IN_DEFAULT_ZONE_1': 142.0, 'IN_DEFAULT_ZONE_3': 0.0}}"
06/21/16 00:00:00,"{'valuesInZones': {'BELOW_DEFAULT_ZONE_1': 1303.0, 'IN_DEFAULT_ZONE_2': 1.0, 'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_1': 73.0}}"
06/22/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_2': 2.0, 'BELOW_DEFAULT_ZONE_1': 1168.0, 'IN_DEFAULT_ZONE_1': 243.0, 'IN_DEFAULT_ZONE_3': 0.0}}"
06/23/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 271.0, 'IN_DEFAULT_ZONE_2': 9.0, 'IN_DEFAULT_ZONE_3': 1.0, 'BELOW_DEFAULT_ZONE_1': 1131.0}}"
06/24/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_3': 0.0, 'IN_DEFAULT_ZONE_1': 135.0, 'IN_DEFAULT_ZONE_2': 0.0, 'BELOW_DEFAULT_ZONE_1': 1296.0}}"
06/25/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 186.0, 'IN_DEFAULT_ZONE_3': 0.0, 'BELOW_DEFAULT_ZONE_1': 409.0, 'IN_DEFAULT_ZONE_2': 0.0}}"
06/26/16 00:00:00,"{'valuesInZones': {'IN_DEFAULT_ZONE_1': 289.0, 'IN_DEFAULT_ZONE_2': 2.0, 'BELOW_DEFAULT_ZONE_1': 1087.0, 'IN_DEFAULT_ZONE_3': 0.0}}"
