dateTime,value
05/20/16 00:00:00,0
05/21/16 00:00:00,0
05/22/16 00:00:00,0
05/23/16 00:00:00,0
05/24/16 00:00:00,0
05/25/16 00:00:00,23
05/26/16 00:00:00,37
05/27/16 00:00:00,0
05/28/16 00:00:00,23
05/29/16 00:00:00,77
05/30/16 00:00:00,126
05/31/16 00:00:00,78
06/01/16 00:00:00,95
06/02/16 00:00:00,55
06/03/16 00:00:00,56
06/04/16 00:00:00,79
06/05/16 00:00:00,10
06/06/16 00:00:00,57
06/07/16 00:00:00,30
06/08/16 00:00:00,70
06/09/16 00:00:00,22
06/10/16 00:00:00,144
06/11/16 00:00:00,188
06/12/16 00:00:00,46
06/13/16 00:00:00,91
06/14/16 00:00:00,76
06/15/16 00:00:00,61
06/16/16 00:00:00,114
06/17/16 00:00:00,12
06/18/16 00:00:00,143
06/19/16 00:00:00,60
06/20/16 00:00:00,82
06/21/16 00:00:00,33
06/22/16 00:00:00,82
06/23/16 00:00:00,142
06/24/16 00:00:00,27
06/25/16 00:00:00,66
06/26/16 00:00:00,128
06/27/16 00:00:00,17
06/28/16 00:00:00,27
06/29/16 00:00:00,12
06/30/16 00:00:00,62
07/01/16 00:00:00,114
07/02/16 00:00:00,50
07/03/16 00:00:00,45
07/04/16 00:00:00,190
07/05/16 00:00:00,166
07/06/16 00:00:00,76
07/07/16 00:00:00,52
07/08/16 00:00:00,11
07/09/16 00:00:00,172
07/10/16 00:00:00,40
07/11/16 00:00:00,130
07/12/16 00:00:00,50
07/13/16 00:00:00,55
07/14/16 00:00:00,168
07/15/16 00:00:00,126
07/16/16 00:00:00,79
07/17/16 00:00:00,14
07/18/16 00:00:00,68
07/19/16 00:00:00,92
07/20/16 00:00:00,49
07/21/16 00:00:00,84
07/22/16 00:00:00,102
07/23/16 00:00:00,77
07/24/16 00:00:00,18
07/25/16 00:00:00,96
07/26/16 00:00:00,46
07/27/16 00:00:00,155
07/28/16 00:00:00,150
07/29/16 00:00:00,15
07/30/16 00:00:00,73
07/31/16 00:00:00,57
08/01/16 00:00:00,63
08/02/16 00:00:00,75
08/03/16 00:00:00,102
08/04/16 00:00:00,59
08/05/16 00:00:00,43
08/06/16 00:00:00,163
08/07/16 00:00:00,19
08/08/16 00:00:00,93
08/09/16 00:00:00,74
08/10/16 00:00:00,105
08/11/16 00:00:00,30
08/12/16 00:00:00,56
08/13/16 00:00:00,25
08/14/16 00:00:00,47
08/15/16 00:00:00,89
08/16/16 00:00:00,55
08/17/16 00:00:00,103
08/18/16 00:00:00,17
08/19/16 00:00:00,27
08/20/16 00:00:00,131
08/21/16 00:00:00,1
08/22/16 00:00:00,77
08/23/16 00:00:00,50
08/24/16 00:00:00,62
08/25/16 00:00:00,82
08/26/16 00:00:00,7
08/27/16 00:00:00,138
08/28/16 00:00:00,65
08/29/16 00:00:00,39
08/30/16 00:00:00,152
08/31/16 00:00:00,56
09/01/16 00:00:00,147
09/02/16 00:00:00,116
09/03/16 00:00:00,95
09/04/16 00:00:00,136
09/05/16 00:00:00,80
09/06/16 00:00:00,47
09/07/16 00:00:00,84
09/08/16 00:00:00,109
09/09/16 00:00:00,69
09/10/16 00:00:00,165
09/11/16 00:00:00,23
09/12/16 00:00:00,144
09/13/16 00:00:00,49
09/14/16 00:00:00,53
09/15/16 00:00:00,163
09/16/16 00:00:00,0
