activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,startTime,steps,tcxLink
1491000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,111.0,235,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-29/2016-05-29/1min/time/18:00/18:25.json,1491000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-29/2016-05-29/1sec/time/18:00:23/18:25:14.json,"[{'max': 99, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 17, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-05-30T04:46:05.000Z,2777167895,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1491000,2016-05-29,2016-05-29T18:00:23.000-04:00,1917.0,https://api.fitbit.com/1/user/-/activities/2777167895.tcx
1491000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 19, 'name': 'very'}]",Walk,90013,101.0,219,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-29/2016-05-29/1min/time/20:08/20:33.json,1491000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-29/2016-05-29/1sec/time/20:08:15/20:33:06.json,"[{'max': 99, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 16, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-05-30T04:46:05.000Z,2777167898,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1491000,2016-05-30,2016-05-29T20:08:15.000-04:00,2189.0,https://api.fitbit.com/1/user/-/activities/2777167898.tcx
1233000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 20, 'name': 'very'}]",Walk,90013,107.0,186,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-29/2016-05-29/1min/time/21:28/21:48.json,1233000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-29/2016-05-29/1sec/time/21:28:04/21:48:37.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 20, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-05-30T04:46:05.000Z,2777167899,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1233000,2016-05-30,2016-05-29T21:28:04.000-04:00,1907.0,https://api.fitbit.com/1/user/-/activities/2777167899.tcx
1028000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",Walk,90013,108.0,146,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-30/2016-05-30/1min/time/13:18/13:35.json,1028000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-30/2016-05-30/1sec/time/13:18:29/13:35:37.json,"[{'max': 99, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-05-30T20:23:05.000Z,2783826192,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1028000,2016-05-30,2016-05-30T13:18:29.000-04:00,1504.0,https://api.fitbit.com/1/user/-/activities/2783826192.tcx
1747000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 23, 'name': 'very'}]",Walk,90013,109.0,252,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-30/2016-05-30/1min/time/14:15/14:44.json,1747000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-30/2016-05-30/1sec/time/14:15:16/14:44:23.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 29, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-05-30T20:23:05.000Z,2783826193,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1747000,2016-05-30,2016-05-30T14:15:16.000-04:00,2595.0,https://api.fitbit.com/1/user/-/activities/2783826193.tcx
5353000,"[{'minutes': 6, 'name': 'sedentary'}, {'minutes': 12, 'name': 'lightly'}, {'minutes': 18, 'name': 'fairly'}, {'minutes': 53, 'name': 'very'}]",Walk,90013,107.0,699,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-30/2016-05-30/1min/time/15:17/16:46.json,5353000,113.333334,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-30/2016-05-30/1sec/time/15:17:07/16:46:20.json,"[{'max': 99, 'min': 30, 'minutes': 16, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 73, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-05-31T01:11:36.000Z,2786252885,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",5353000,2016-05-30,2016-05-30T15:17:07.000-04:00,6794.0,https://api.fitbit.com/1/user/-/activities/2786252885.tcx
3553000,"[{'minutes': 10, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 34, 'name': 'very'}]",Walk,90013,105.0,433,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-30/2016-05-30/1min/time/17:33/18:32.json,3553000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-30/2016-05-30/1sec/time/17:33:41/18:32:54.json,"[{'max': 99, 'min': 30, 'minutes': 17, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 42, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-05-31T01:11:36.000Z,2786252886,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",3553000,2016-05-30,2016-05-30T17:33:41.000-04:00,4344.0,https://api.fitbit.com/1/user/-/activities/2786252886.tcx
1233000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 21, 'name': 'very'}]",Walk,90013,125.0,242,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-31/2016-05-31/1min/time/10:06/10:27.json,1233000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-31/2016-05-31/1sec/time/10:06:39/10:27:12.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 18, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 3, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-01T04:22:24.000Z,2800605204,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1233000,2016-05-31,2016-05-31T10:06:39.000-04:00,1931.0,https://api.fitbit.com/1/user/-/activities/2800605204.tcx
1901000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 25, 'name': 'very'}]",Walk,90013,109.0,286,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-31/2016-05-31/1min/time/17:54/18:25.json,1901000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-31/2016-05-31/1sec/time/17:54:02/18:25:43.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 31, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-01T04:22:24.000Z,2800605205,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1901000,2016-05-31,2016-05-31T17:54:02.000-04:00,2795.0,https://api.fitbit.com/1/user/-/activities/2800605205.tcx
1186000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",Walk,90013,106.0,183,https://api.fitbit.com/1/user/-/activities/calories/date/2016-05-31/2016-05-31/1min/time/21:11/21:31.json,1186000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-05-31/2016-05-31/1sec/time/21:11:24/21:31:10.json,"[{'max': 99, 'min': 30, 'minutes': 3, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 17, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-06-01T04:22:24.000Z,2800605206,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1186000,2016-06-01,2016-05-31T21:11:24.000-04:00,1860.0,https://api.fitbit.com/1/user/-/activities/2800605206.tcx
