activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,speed,startTime,steps,tcxLink
922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 15, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Walk,90013,,97,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-26/2017-05-26/1min/time/16:47/17:02.json,,,922000,70.0,,,2017-05-26T21:14:30.000Z,7907937430,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2017-05-26,,,2017-05-26T16:47:17.000-04:00,1023.0,
1024000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 15, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Walk,90013,,97,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-27/2017-05-28/1min/time/23:58/0:15.json,,,1024000,0.0,,,2017-05-28T04:59:54.000Z,7930259215,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2017-05-28,,,2017-05-27T23:58:11.000-04:00,946.0,
5277000,"[{'minutes': 21, 'name': 'sedentary'}, {'minutes': 66, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Workout,3000,,327,https://api.fitbit.com/1/user/-/activities/calories/date/2017-05-31/2017-05-31/1min/time/17:37/19:04.json,,,5277000,51.000656,,,2017-06-01T00:17:11.000Z,7996128056,tracker,"{'calories': False, 'distance': False, 'steps': False}",5277000,2017-05-31,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2017-05-31T17:37:00.000-05:00,2289.0,
4610000,"[{'minutes': 8, 'name': 'sedentary'}, {'minutes': 62, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Workout,3000,,375,https://api.fitbit.com/1/user/-/activities/calories/date/2017-06-02/2017-06-02/1min/time/18:22/19:38.json,,,4610000,60.0,,,2017-06-03T00:50:25.000Z,8039628401,tracker,"{'calories': False, 'distance': False, 'steps': False}",4610000,2017-06-02,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2017-06-02T18:22:01.000-05:00,3483.0,
2972000,"[{'minutes': 8, 'name': 'sedentary'}, {'minutes': 23, 'name': 'lightly'}, {'minutes': 14, 'name': 'fairly'}, {'minutes': 4, 'name': 'very'}]",Workout,3000,,240,https://api.fitbit.com/1/user/-/activities/calories/date/2017-06-06/2017-06-06/1min/time/17:51/18:41.json,,,2972000,37.001312,,,2017-06-11T19:49:34.000Z,8197695653,tracker,"{'calories': False, 'distance': False, 'steps': False}",2972000,2017-06-06,"{'id': '77441808', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2017-06-06T17:51:59.000-05:00,2118.0,
2816000,"[{'minutes': 13, 'name': 'sedentary'}, {'minutes': 13, 'name': 'lightly'}, {'minutes': 9, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",Walk,90013,,275,https://api.fitbit.com/1/user/-/activities/calories/date/2017-06-09/2017-06-09/1min/time/14:20/15:07.json,,,2816000,40.0,,,2017-06-11T19:49:37.000Z,8202967638,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2816000,2017-06-09,,,2017-06-09T14:20:42.000-05:00,2995.0,
3249000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 17, 'name': 'fairly'}, {'minutes': 32, 'name': 'very'}]",Workout,3000,119.0,439,https://api.fitbit.com/1/user/-/activities/calories/date/2017-07-10/2017-07-10/1min/time/21:05/21:59.json,,,3249000,46.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2017-07-10/2017-07-10/1sec/time/21:05:39/21:59:48.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 53, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-07-11T03:13:27.000Z,8726562288,tracker,"{'calories': False, 'distance': False, 'steps': False}",3249000,2017-07-11,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2017-07-10T21:05:39.000-05:00,2272.0,https://api.fitbit.com/1/user/-/activities/8726562288.tcx
1331000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 20, 'name': 'very'}]",Walk,90013,103.0,177,https://api.fitbit.com/1/user/-/activities/calories/date/2017-07-14/2017-07-14/1min/time/12:51/13:13.json,,,1331000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-07-14/2017-07-14/1sec/time/12:51:17/13:13:28.json,"[{'max': 99, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 18, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-07-14T19:22:43.000Z,8805634108,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1331000,2017-07-14,,,2017-07-14T12:51:17.000-05:00,2125.0,https://api.fitbit.com/1/user/-/activities/8805634108.tcx
2000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Run,90009,,0,https://api.fitbit.com/1/user/-/activities/calories/date/2017-07-17/2017-07-17/1min/time/20:58/20:58.json,0.0,Mile,2000,0.0,,,2017-07-18T02:00:46.000Z,8856538789,tracker,"{'calories': False, 'distance': False, 'steps': False}",2000,2017-07-18,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",0.0,2017-07-17T20:58:21.000-05:00,0.0,
1280000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",Walk,90013,100.0,153,https://api.fitbit.com/1/user/-/activities/calories/date/2017-07-18/2017-07-18/1min/time/15:59/16:20.json,,,1280000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-07-18/2017-07-18/1sec/time/15:59:11/16:20:31.json,"[{'max': 99, 'min': 30, 'minutes': 8, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-07-18T21:36:44.000Z,8880877253,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1280000,2017-07-18,,,2017-07-18T15:59:11.000-05:00,1753.0,https://api.fitbit.com/1/user/-/activities/8880877253.tcx
