activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
2275000,"[{'minutes': 9, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 11, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Weights,2131,113,224,https://api.fitbit.com/1/user/-/activities/calories/date/2018-11-26/2018-11-26/1min/time/9:10/9:48.json,0.305137,Mile,2282000,21.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2018-11-26/2018-11-26/1sec/time/09:10:24/09:48:26.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 30, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 3, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-11-26T15:22:19.000Z,18298698365,tracker,"{'calories': False, 'distance': False, 'steps': False}",2282000,2018-11-26T09:10:24.000-05:00,"{'id': '133268675', 'name': 'Charge 3', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-11-26T09:10:24.000-05:00,741,https://api.fitbit.com/1/user/-/activities/18298698365.tcx
1177000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,109,150,https://api.fitbit.com/1/user/-/activities/calories/date/2018-11-26/2018-11-26/1min/time/18:28/18:48.json,,,1177000,40.331365,https://api.fitbit.com/1/user/-/activities/heart/date/2018-11-26/2018-11-26/1sec/time/18:28:24/18:48:01.json,"[{'max': 98, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 16, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-11-26T23:53:50.000Z,18323256141,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1177000,2018-11-26T18:28:24.000-05:00,,2018-11-26T18:28:24.000-05:00,1363,https://api.fitbit.com/1/user/-/activities/18323256141.tcx
974000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",Walk,90013,101,128,https://api.fitbit.com/1/user/-/activities/calories/date/2018-11-26/2018-11-26/1min/time/19:24/19:40.json,,,974000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-11-26/2018-11-26/1sec/time/19:24:43/19:40:57.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-11-27T00:57:50.000Z,18324137381,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",974000,2018-11-26T19:24:43.000-05:00,,2018-11-26T19:24:43.000-05:00,1648,https://api.fitbit.com/1/user/-/activities/18324137381.tcx
1228000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,108,176,https://api.fitbit.com/1/user/-/activities/calories/date/2018-11-28/2018-11-28/1min/time/18:37/18:58.json,,,1228000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-11-28/2018-11-28/1sec/time/18:37:59/18:58:27.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 20, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-11-29T00:08:12.000Z,18365591331,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1228000,2018-11-28T18:37:59.000-05:00,,2018-11-28T18:37:59.000-05:00,2202,https://api.fitbit.com/1/user/-/activities/18365591331.tcx
1639000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 20, 'name': 'very'}]",Walk,90013,113,232,https://api.fitbit.com/1/user/-/activities/calories/date/2018-11-28/2018-11-28/1min/time/22:01/22:29.json,,,1639000,110.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-11-28/2018-11-28/1sec/time/22:01:57/22:29:16.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 28, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-11-29T03:35:51.000Z,18367732408,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1639000,2018-11-28T22:01:57.000-05:00,,2018-11-28T22:01:57.000-05:00,2402,https://api.fitbit.com/1/user/-/activities/18367732408.tcx
782000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",Weights,2131,146,165,https://api.fitbit.com/1/user/-/activities/calories/date/2018-11-30/2018-11-30/1min/time/9:17/9:49.json,0.480956,Mile,1922000,21.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2018-11-30/2018-11-30/1sec/time/09:17:30/09:49:32.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 4, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 10, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-11-30T16:21:23.000Z,18387358234,tracker,"{'calories': False, 'distance': False, 'steps': False}",1922000,2018-11-30T09:17:30.000-05:00,"{'id': '133268675', 'name': 'Charge 3', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-11-30T09:17:30.000-05:00,1048,https://api.fitbit.com/1/user/-/activities/18387358234.tcx
1024000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Walk,90013,105,128,https://api.fitbit.com/1/user/-/activities/calories/date/2018-11-30/2018-11-30/1min/time/22:02/22:19.json,,,1024000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-11-30/2018-11-30/1sec/time/22:02:17/22:19:21.json,"[{'max': 98, 'min': 30, 'minutes': 3, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-12-01T03:24:02.000Z,18410011699,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2018-11-30T22:02:17.000-05:00,,2018-11-30T22:02:17.000-05:00,1327,https://api.fitbit.com/1/user/-/activities/18410011699.tcx
7032000,"[{'minutes': 8, 'name': 'sedentary'}, {'minutes': 6, 'name': 'lightly'}, {'minutes': 32, 'name': 'fairly'}, {'minutes': 71, 'name': 'very'}]",Weights,2131,124,952,https://api.fitbit.com/1/user/-/activities/calories/date/2018-12-01/2018-12-01/1min/time/12:54/14:51.json,1.129827,Mile,7035000,57.001312,https://api.fitbit.com/1/user/-/activities/heart/date/2018-12-01/2018-12-01/1sec/time/12:54:13/14:51:28.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 105, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 12, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-12-01T20:01:55.000Z,18419138054,tracker,"{'calories': False, 'distance': False, 'steps': False}",7035000,2018-12-01T12:54:13.000-05:00,"{'id': '133268675', 'name': 'Charge 3', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-12-01T12:54:13.000-05:00,2733,https://api.fitbit.com/1/user/-/activities/18419138054.tcx
1180000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",Walk,90013,123,185,https://api.fitbit.com/1/user/-/activities/calories/date/2018-12-01/2018-12-01/1min/time/14:53/15:13.json,,,1180000,70.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-12-01/2018-12-01/1sec/time/14:53:34/15:13:14.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 20, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-12-01T20:44:07.000Z,18421962498,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1180000,2018-12-01T14:53:34.000-05:00,,2018-12-01T14:53:34.000-05:00,1507,https://api.fitbit.com/1/user/-/activities/18421962498.tcx
3276000,"[{'minutes': 9, 'name': 'sedentary'}, {'minutes': 7, 'name': 'lightly'}, {'minutes': 13, 'name': 'fairly'}, {'minutes': 25, 'name': 'very'}]",Walk,90013,102,356,https://api.fitbit.com/1/user/-/activities/calories/date/2018-12-02/2018-12-02/1min/time/13:36/14:30.json,,,3276000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-12-02/2018-12-02/1sec/time/13:36:23/14:30:59.json,"[{'max': 98, 'min': 30, 'minutes': 16, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 37, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-12-02T19:36:03.000Z,18434915405,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",3276000,2018-12-02T13:36:23.000-05:00,,2018-12-02T13:36:23.000-05:00,3723,https://api.fitbit.com/1/user/-/activities/18434915405.tcx
