,activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
0,4688000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 67, 'name': 'very'}]",Workout,3000,126,674,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-30/2018-01-30/1min/time/8:12/9:30.json,4689000,83.999344,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-30/2018-01-30/1sec/time/08:12:24/09:30:33.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 74, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 4, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-30 14:45:45,12096851737,tracker,"{'calories': False, 'distance': False, 'steps': False}",4689000,2018-01-30T08:12:24.000-05:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-01-30T08:12:24.000-05:00,2293,https://api.fitbit.com/1/user/-/activities/12096851737.tcx
1,3913000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 16, 'name': 'fairly'}, {'minutes': 45, 'name': 'very'}]",Workout,3000,125,539,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-29/2018-01-29/1min/time/8:13/9:18.json,3913000,65.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-29/2018-01-29/1sec/time/08:13:20/09:18:33.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 54, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 11, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-29 14:21:19,12086201242,tracker,"{'calories': False, 'distance': False, 'steps': False}",3913000,2018-01-29T08:13:20.000-05:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-01-29T08:13:20.000-05:00,2120,https://api.fitbit.com/1/user/-/activities/12086201242.tcx
2,973000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 10, 'name': 'very'}]",Walk,90013,108,134,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-29/2018-01-29/1min/time/7:45/8:02.json,973000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-29/2018-01-29/1sec/time/07:45:55/08:02:08.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-29 13:19:18,12086867096,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",973000,2018-01-29T07:45:55.000-05:00,,2018-01-29T07:45:55.000-05:00,1593,https://api.fitbit.com/1/user/-/activities/12086867096.tcx
3,2048000,"[{'minutes': 7, 'name': 'sedentary'}, {'minutes': 10, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Walk,90013,96,196,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-28/2018-01-28/1min/time/17:05/17:39.json,2048000,110.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-28/2018-01-28/1sec/time/17:05:16/17:39:24.json,"[{'max': 98, 'min': 30, 'minutes': 11, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 23, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-28 23:27:46,12079344953,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2048000,2018-01-28T17:05:16.000-05:00,,2018-01-28T17:05:16.000-05:00,1832,https://api.fitbit.com/1/user/-/activities/12079344953.tcx
4,1024000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 9, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 8, 'name': 'very'}]",Walk,90013,107,130,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-27/2018-01-27/1min/time/18:48/19:05.json,1024000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-27/2018-01-27/1sec/time/18:48:06/19:05:10.json,"[{'max': 98, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 12, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-28 00:18:53,12064322013,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2018-01-27T18:48:06.000-05:00,,2018-01-27T18:48:06.000-05:00,1270,https://api.fitbit.com/1/user/-/activities/12064322013.tcx
5,1996000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 6, 'name': 'lightly'}, {'minutes': 10, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",Walk,90013,101,238,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-26/2018-01-26/1min/time/19:27/20:01.json,1996000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-26/2018-01-26/1sec/time/19:27:46/20:01:02.json,"[{'max': 98, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 25, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-27 01:04:53,12048282867,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1996000,2018-01-26T19:27:46.000-05:00,,2018-01-26T19:27:46.000-05:00,2661,https://api.fitbit.com/1/user/-/activities/12048282867.tcx
6,1024000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",Walk,90013,104,132,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-26/2018-01-26/1min/time/12:52/13:09.json,1024000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-26/2018-01-26/1sec/time/12:52:40/13:09:44.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-26 18:17:26,12041289485,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2018-01-26T12:52:40.000-05:00,,2018-01-26T12:52:40.000-05:00,1538,https://api.fitbit.com/1/user/-/activities/12041289485.tcx
7,4372000,"[{'minutes': 11, 'name': 'sedentary'}, {'minutes': 12, 'name': 'lightly'}, {'minutes': 18, 'name': 'fairly'}, {'minutes': 31, 'name': 'very'}]",Workout,3000,116,467,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-26/2018-01-26/1min/time/8:28/9:41.json,4372000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-26/2018-01-26/1sec/time/08:28:24/09:41:16.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 67, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-26 14:41:28,12032698459,tracker,"{'calories': False, 'distance': False, 'steps': False}",4372000,2018-01-26T08:28:24.000-05:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-01-26T08:28:24.000-05:00,1763,https://api.fitbit.com/1/user/-/activities/12032698459.tcx
8,2492000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 35, 'name': 'very'}]",Workout,3000,130,397,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-24/2018-01-24/1min/time/8:53/9:35.json,2493000,75.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-24/2018-01-24/1sec/time/08:53:31/09:35:04.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 28, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 14, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-24 14:37:19,11989586189,tracker,"{'calories': False, 'distance': False, 'steps': False}",2493000,2018-01-24T08:53:31.000-05:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-01-24T08:53:31.000-05:00,1687,https://api.fitbit.com/1/user/-/activities/11989586189.tcx
9,1570000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",Workout,3000,129,250,https://api.fitbit.com/1/user/-/activities/calories/date/2018-01-23/2018-01-23/1min/time/8:31/8:58.json,1570000,37.998688,https://api.fitbit.com/1/user/-/activities/heart/date/2018-01-23/2018-01-23/1sec/time/08:31:55/08:58:05.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 21, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 4, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-01-23 14:10:15,11978292735,tracker,"{'calories': False, 'distance': False, 'steps': False}",1570000,2018-01-23T08:31:55.000-05:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-01-23T08:31:55.000-05:00,1056,https://api.fitbit.com/1/user/-/activities/11978292735.tcx
