,activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,speed,startTime,steps,tcxLink
0,1537000,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 13, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 8, 'name': 'very'}]",Walk,90013,101.0,185,https://api.fitbit.com/1/user/-/activities/calories/date/2018-04-12/2018-04-12/1min/time/20:37/21:02.json,,,1537000,80.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-04-12/2018-04-12/1sec/time/20:37:09/21:02:46.json,"[{'max': 98, 'min': 30, 'minutes': 7, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 8, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-04-13 01:15:30,13524818797,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1537000,2018-04-12T20:37:09.000-04:00,,,2018-04-12T20:37:09.000-04:00,1860,https://api.fitbit.com/1/user/-/activities/13524818797.tcx
1,1690000,"[{'minutes': 8, 'name': 'sedentary'}, {'minutes': 10, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 6, 'name': 'very'}]",Walk,90013,91.0,154,https://api.fitbit.com/1/user/-/activities/calories/date/2018-04-11/2018-04-11/1min/time/12:10/12:38.json,,,1690000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-04-11/2018-04-11/1sec/time/12:10:07/12:38:17.json,"[{'max': 98, 'min': 30, 'minutes': 21, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 7, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-04-11 17:12:19,13495538698,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1690000,2018-04-11T12:10:07.000-04:00,,,2018-04-11T12:10:07.000-04:00,1671,https://api.fitbit.com/1/user/-/activities/13495538698.tcx
2,4139000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 13, 'name': 'lightly'}, {'minutes': 25, 'name': 'fairly'}, {'minutes': 30, 'name': 'very'}]",Workout,3000,119.0,529,https://api.fitbit.com/1/user/-/activities/calories/date/2018-04-10/2018-04-10/1min/time/8:26/9:35.json,,,4139000,65.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-04-10/2018-04-10/1sec/time/08:26:05/09:35:04.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 60, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 7, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-04-10 13:41:39,13468752437,tracker,"{'calories': False, 'distance': False, 'steps': False}",4139000,2018-04-10T08:26:05.000-04:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-04-10T08:26:05.000-04:00,2583,https://api.fitbit.com/1/user/-/activities/13468752437.tcx
3,978000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 10, 'name': 'very'}]",Walk,90013,106.0,126,https://api.fitbit.com/1/user/-/activities/calories/date/2018-04-10/2018-04-10/1min/time/7:55/8:11.json,,,978000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-04-10/2018-04-10/1sec/time/07:55:07/08:11:25.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-04-10 12:23:05,13470309533,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",978000,2018-04-10T07:55:07.000-04:00,,,2018-04-10T07:55:07.000-04:00,1558,https://api.fitbit.com/1/user/-/activities/13470309533.tcx
4,1024000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 16, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Walk,90013,98.0,121,https://api.fitbit.com/1/user/-/activities/calories/date/2018-04-09/2018-04-09/1min/time/18:23/18:40.json,,,1024000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-04-09/2018-04-09/1sec/time/18:23:45/18:40:49.json,"[{'max': 98, 'min': 30, 'minutes': 10, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 7, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-04-09 22:44:00,13460908702,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2018-04-09T18:23:45.000-04:00,,,2018-04-09T18:23:45.000-04:00,1328,https://api.fitbit.com/1/user/-/activities/13460908702.tcx
5,1536000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 15, 'name': 'very'}]",Walk,90013,117.0,222,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-27/2018-03-27/1min/time/18:42/19:07.json,,,1536000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-27/2018-03-27/1sec/time/18:42:14/19:07:50.json,"[{'max': 98, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 5, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 1, 'name': 'Peak'}]",2018-03-27 23:17:24,13210889830,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1536000,2018-03-27T18:42:14.000-04:00,,,2018-03-27T18:42:14.000-04:00,1932,https://api.fitbit.com/1/user/-/activities/13210889830.tcx
6,22000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Run,90009,,0,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-27/2018-03-27/1min/time/8:32/8:32.json,0.0,Mile,22000,0.216535,,,2018-03-27 12:56:23,13196055323,tracker,"{'calories': False, 'distance': False, 'steps': False}",22000,2018-03-27T08:32:31.000-04:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",0.0,2018-03-27T08:32:31.000-04:00,0,
7,1690000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 11, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,107.0,221,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-26/2018-03-26/1min/time/18:07/18:35.json,,,1690000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-26/2018-03-26/1sec/time/18:07:07/18:35:17.json,"[{'max': 98, 'min': 30, 'minutes': 10, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 3, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 1, 'name': 'Peak'}]",2018-03-26 22:42:19,13187416586,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1690000,2018-03-26T18:07:07.000-04:00,,,2018-03-26T18:07:07.000-04:00,2214,https://api.fitbit.com/1/user/-/activities/13187416586.tcx
8,4198000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 62, 'name': 'very'}]",Workout,3000,132.0,671,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-26/2018-03-26/1min/time/8:24/9:34.json,,,4198000,87.001312,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-26/2018-03-26/1sec/time/08:24:10/09:34:08.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 50, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 20, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-26 13:39:29,13161284164,tracker,"{'calories': False, 'distance': False, 'steps': False}",4198000,2018-03-26T08:24:10.000-04:00,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2018-03-26T08:24:10.000-04:00,3088,https://api.fitbit.com/1/user/-/activities/13161284164.tcx
9,922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,111.0,130,https://api.fitbit.com/1/user/-/activities/calories/date/2018-03-26/2018-03-26/1min/time/7:56/8:12.json,,,922000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-03-26/2018-03-26/1sec/time/07:56:59/08:12:21.json,"[{'max': 98, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 12, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-03-26 12:21:27,13172396228,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2018-03-26T07:56:59.000-04:00,,,2018-03-26T07:56:59.000-04:00,1599,https://api.fitbit.com/1/user/-/activities/13172396228.tcx
