id,date,weekday,last_workout_date,last_category_date,category,primary_lift,volume,mean_reps,completion_rate,age
1,2014-06-07,Saturday,0 days 00:00:00.000000000,0 days 00:00:00.000000000,Back,Lat Pulldown,8114.0,8.222222222222221,1.0,19
2,2014-06-08,Sunday,1 days 00:00:00.000000000,0 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,1650.0,10.0,0.75,19
3,2014-06-10,Tuesday,2 days 00:00:00.000000000,0 days 00:00:00.000000000,Legs,Leg Press,12900.0,10.0,1.0,19
4,2014-06-17,Tuesday,7 days 00:00:00.000000000,9 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,1995.0,8.2,1.0,19
5,2014-06-18,Wednesday,1 days 00:00:00.000000000,0 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,19
6,2014-06-19,Thursday,1 days 00:00:00.000000000,9 days 00:00:00.000000000,Legs,Leg Press,10780.0,8.153846153846153,1.0,19
7,2014-06-22,Sunday,3 days 00:00:00.000000000,3 days 00:00:00.000000000,Legs,Leg Press,11425.0,8.5,1.0,19
8,2014-06-24,Tuesday,2 days 00:00:00.000000000,17 days 00:00:00.000000000,Back,Lat Pulldown,6919.0,7.615384615384615,1.0,19
9,2014-06-26,Thursday,2 days 00:00:00.000000000,8 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,19
10,2014-06-30,Monday,4 days 00:00:00.000000000,4 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,19
11,2014-07-01,Tuesday,1 days 00:00:00.000000000,14 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,1910.0,9.0,1.0,19
12,2014-07-02,Wednesday,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Back,Lat Pulldown,4663.0,7.166666666666667,1.0,19
13,2014-07-05,Saturday,3 days 00:00:00.000000000,0 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
14,2014-07-07,Monday,2 days 00:00:00.000000000,6 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,2515.0,8.166666666666666,1.0,19
15,2014-07-09,Wednesday,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Back,Seated Cable Row,4695.0,7.666666666666667,1.0,19
16,2014-07-10,Thursday,1 days 00:00:00.000000000,5 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
17,2014-07-13,Sunday,3 days 00:00:00.000000000,6 days 00:00:00.000000000,Chest,Dumbbell Overhead Triceps Extension,1300.0,10.0,1.0,19
18,2014-07-15,Tuesday,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
19,2014-07-16,Wednesday,1 days 00:00:00.000000000,3 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,1950.0,10.0,1.0,19
20,2014-07-17,Thursday,1 days 00:00:00.000000000,17 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,19
21,2014-07-21,Monday,4 days 00:00:00.000000000,6 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
22,2014-07-22,Tuesday,1 days 00:00:00.000000000,30 days 00:00:00.000000000,Legs,Leg Press,11425.0,8.5,1.0,19
23,2014-07-23,Wednesday,1 days 00:00:00.000000000,14 days 00:00:00.000000000,Back,Lat Pulldown,8100.0,10.0,1.0,19
24,2014-07-25,Friday,2 days 00:00:00.000000000,8 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,19
25,2014-07-27,Sunday,2 days 00:00:00.000000000,11 days 00:00:00.000000000,Chest,Seated Machine Fly,5236.0,6.615384615384615,0.7142857142857143,19
26,2014-07-28,Monday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
27,2014-07-30,Wednesday,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Back,Lat Pulldown,8550.0,10.0,1.0,19
28,2014-07-31,Thursday,1 days 00:00:00.000000000,6 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,19
29,2014-08-04,Monday,4 days 00:00:00.000000000,7 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
30,2014-08-07,Thursday,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Back,Pull Up,14.0,4.666666666666667,1.0,19
31,2014-08-08,Friday,1 days 00:00:00.000000000,12 days 00:00:00.000000000,Chest,Seated Machine Fly,4260.0,4.333333333333333,1.0,19
32,2014-08-11,Monday,3 days 00:00:00.000000000,11 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,19
33,2014-08-12,Tuesday,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
34,2014-08-14,Thursday,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Back,Dumbbell Row,1967.0,7.833333333333333,1.0,19
35,2014-08-15,Friday,1 days 00:00:00.000000000,0 days 00:00:00.000000000,Shoulders,Dumbbell Shoulder Press,1130.0,6.8,1.0,19
36,2014-08-17,Sunday,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,14030.0,13.066666666666666,1.0,19
37,2014-08-18,Monday,1 days 00:00:00.000000000,4 days 00:00:00.000000000,Back,Bent Over Row,17840.0,12.933333333333334,1.0,19
38,2014-09-03,Wednesday,16 days 00:00:00.000000000,17 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,14030.0,13.066666666666666,1.0,19
39,2014-09-06,Saturday,3 days 00:00:00.000000000,19 days 00:00:00.000000000,Back,Bent Over Row,17840.0,12.933333333333334,1.0,19
40,2014-10-17,Friday,41 days 00:00:00.000000000,41 days 00:00:00.000000000,Back,Lat Pulldown,11850.0,13.333333333333334,1.0,19
41,2014-10-18,Saturday,1 days 00:00:00.000000000,45 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,5300.0,14.0,1.0,19
42,2014-11-21,Friday,34 days 00:00:00.000000000,101 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
43,2014-11-30,Sunday,9 days 00:00:00.000000000,43 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,6225.0,7.3076923076923075,1.0,19
44,2014-12-18,Thursday,18 days 00:00:00.000000000,18 days 00:00:00.000000000,Chest,Flat Dumbbell Bench Press,6055.0,9.4,1.0,19
45,2014-12-19,Friday,1 days 00:00:00.000000000,150 days 00:00:00.000000000,Legs,Dumbbell Calf Raise,3400.0,10.0,1.0,19
46,2014-12-20,Saturday,1 days 00:00:00.000000000,64 days 00:00:00.000000000,Back,Lat Pulldown,3662.0,6.8,1.0,19
47,2014-12-22,Monday,2 days 00:00:00.000000000,31 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,19
48,2014-12-26,Friday,4 days 00:00:00.000000000,6 days 00:00:00.000000000,Back,Lat Pulldown,10583.0,8.045454545454545,1.0,19
49,2014-12-27,Saturday,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Legs,Dumbbell Lunges,1401.0,7.75,1.0,19
50,2014-12-29,Monday,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Legs,Dumbbell Lunges,1451.0,7.75,1.0,19
51,2014-12-30,Tuesday,1 days 00:00:00.000000000,12 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,9014.0,7.615384615384615,1.0,19
