Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment
2014-06-07,Lat Pulldown,Back,150.0,10,,,,""
2014-06-07,Lat Pulldown,Back,150.0,10,,,,""
2014-06-07,Lat Pulldown,Back,150.0,10,,,,""
2014-06-07,Seated Back Extension,Back,120.0,10,,,,""
2014-06-07,Seated Back Extension,Back,120.0,10,,,,""
2014-06-07,Seated Back Extension,Back,120.0,10,,,,""
2014-06-07,Pull Up,Back,1.0,8,,,,""
2014-06-07,Pull Up,Back,1.0,5,,,,""
2014-06-07,Pull Up,Back,1.0,1,,,,""
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-08,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-08,Push Up,Chest,0.0,10,,,,""
2014-06-10,Seated Leg Curl Machine,Legs,210.0,10,,,,""
2014-06-10,Seated Leg Curl Machine,Legs,210.0,10,,,,""
2014-06-10,Seated Leg Curl Machine,Legs,195.0,10,,,,"Right knee started bothering me"
2014-06-10,Leg Press,Legs,225.0,10,,,,""
2014-06-10,Leg Press,Legs,225.0,10,,,,""
2014-06-10,Leg Press,Legs,225.0,10,,,,""
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,10,,,,""
2014-06-17,Flat Dumbbell Bench Press,Chest,55.0,8,,,,""
2014-06-17,Dumbbell Hammer Curl,Biceps,35.0,8,,,,""
2014-06-17,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-06-18,Stationary Bike,Cardio,,,1.4,mi,0:05:00,""
2014-06-18,Rowing Machine,Cardio,,,1162.0,m,0:05:00,""
2014-06-19,Running (Treadmill),Cardio,,,0.55,mi,0:05:01,"Right knee, ankle, and instep starting hurting. Never start on treadmill cold"
2014-06-19,Dumbbell Hammer Curl,Biceps,40.0,6,,,,""
2014-06-19,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-06-19,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-06-19,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-06-19,Pull Up,Back,1.0,6,,,,""
2014-06-19,Pull Up,Back,1.0,5,,,,""
2014-06-19,Pull Up,Back,1.0,4,,,,""
2014-06-19,Leg Press,Legs,225.0,10,,,,""
2014-06-19,Leg Press,Legs,240.0,10,,,,""
2014-06-19,Leg Press,Legs,240.0,10,,,,""
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10,,,,""
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10,,,,""
2014-06-19,Standing Calf Raise Machine,Legs,70.0,10,,,,""
2014-06-22,Stationary Bike,Cardio,,,1.6,mi,0:05:00,""
2014-06-22,Running (Treadmill),Cardio,,,0.63,mi,0:05:16,""
2014-06-22,Leg Press,Legs,255.0,10,,,,""
2014-06-22,Leg Press,Legs,255.0,10,,,,""
2014-06-22,Leg Press,Legs,255.0,10,,,,""
2014-06-22,Standing Calf Raise Machine,Legs,135.0,10,,,,""
2014-06-22,Standing Calf Raise Machine,Legs,120.0,10,,,,""
2014-06-22,Standing Calf Raise Machine,Legs,120.0,10,,,,""
2014-06-22,Pull Up,Back,1.0,10,,,,""
2014-06-22,Pull Up,Back,1.0,6,,,,""
2014-06-22,Pull Up,Back,1.0,5,,,,""
2014-06-22,Pull Up,Back,1.0,4,,,,""
2014-06-24,Stationary Bike,Cardio,,,1.48,mi,0:05:00,""
2014-06-24,Running (Treadmill),Cardio,,,0.56,mi,0:05:00,""
2014-06-24,Dumbbell Hammer Curl,Biceps,40.0,5,,,,""
2014-06-24,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-06-24,Dumbbell Hammer Curl,Biceps,35.0,10,,,,""
2014-06-24,Dumbbell Hammer Curl,Biceps,35.0,5,,,,""
2014-06-24,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-06-24,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-06-24,Flat Dumbbell Bench Press,Chest,60.0,5,,,,""
2014-06-24,Pull Up,Back,1.0,10,,,,""
2014-06-24,Pull Up,Back,1.0,6,,,,""
2014-06-24,Pull Up,Back,1.0,3,,,,""
2014-06-24,Lat Pulldown,Back,150.0,10,,,,""
2014-06-24,Lat Pulldown,Back,150.0,10,,,,""
2014-06-24,Lat Pulldown,Back,150.0,10,,,,""
2014-06-26,Stationary Bike,Cardio,,,1.56,mi,0:05:00,""
2014-06-26,Running (Treadmill),Cardio,,,0.62,mi,0:05:00,""
2014-06-30,Stationary Bike,Cardio,,,1.63,mi,0:05:00,""
2014-06-30,Rowing Machine,Cardio,,,1200.0,m,0:05:00,""
2014-07-01,Stationary Bike,Cardio,,,1.45,mi,0:05:00,""
2014-07-01,Running (Treadmill),Cardio,,,0.63,mi,0:05:00,""
2014-07-01,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-07-01,Flat Dumbbell Bench Press,Chest,60.0,10,,,,""
2014-07-01,Flat Dumbbell Bench Press,Chest,60.0,6,,,,""
2014-07-01,Dumbbell Curl,Biceps,35.0,10,,,,""
2014-07-02,Stationary Bike,Cardio,,,1.42,mi,0:05:00,""
2014-07-02,Running (Treadmill),Cardio,,,0.6,mi,0:05:00,""
2014-07-02,Rowing Machine,Cardio,,,1198.0,m,0:05:08,""
2014-07-02,Lat Pulldown,Back,155.0,10,,,,""
2014-07-02,Lat Pulldown,Back,155.0,10,,,,""
2014-07-02,Lat Pulldown,Back,155.0,10,,,,""
2014-07-02,Pull Up,Back,1.0,6,,,,""
