start_date,end_date,routine,training_block,exercise,intensity,first_set_rpe,sets,reps,duration,superset,sub_superset
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Decline Barbell Bench Press,,,,,,1.0,1.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Decline Dumbbell Bench Press,,,,,,1.0,1.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Decline Dumbbell Fly,,,,,,1.0,2.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Lower Chest Bracket Pushups,,,,,,1.0,3.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Flat Barbell Bench Press,,,,,,2.0,2.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Incline Pushup,,,,,,2.0,2.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Incline Barbell Bench Press,,,,,,2.0,1.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Single Arm Hammer Strength Press,,,,,,2.0,3.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Decline Cable Fly,,,,,,3.0,1.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Close Grip Dip,,,,,,4.0,1.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Pull Up,,,,,,1.0,1.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Reverse Cable Fly,,,,,,1.0,2.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Wide Lat Pulldown Supinated,,,,,,2.0,1.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Single Arm Cable Pulldown,,,,,,2.0,2.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Bent Over EZ Bar Cable Rows,,,,,,3.0,1.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Bent Over Single Arm Cable Rows with Twist,,,,,,3.0,2.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Barbell Row,,,,,,4.0,1.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Inverted Rows,,,,,,4.0,2.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Bent Over Rope Pulldowns,,,,,,5.0,1.0
2019-01-21,2019-05-25,Princess Diana Gains Guide,,Seated Back Extension,,,,,,5.0,2.0
2018-08-04,2019-05-25,Princess Diana Gains Guide,,Decline Oblique Chops,,,,,,1.0,1.0
2018-08-04,2019-05-25,Princess Diana Gains Guide,,Ab-Wheel Rollout Side-Side-Front,,,,,,1.0,2.0
2018-08-04,2019-05-25,Princess Diana Gains Guide,,Med Ball Spread Eagles,,,,,,1.0,3.0
2018-08-04,2019-05-25,Princess Diana Gains Guide,,Mounted Oblique Leans,,,,,,2.0,1.0
2018-08-04,2019-05-25,Princess Diana Gains Guide,,Hanging Front Snap Kick Raise,,,,,,2.0,2.0
2018-08-04,2019-05-25,Princess Diana Gains Guide,,Hanging Knee Raise,,,,,,2.0,2.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Cooldown And Stretch,,,,,,100.0,1.0
2018-05-18,2019-05-25,Princess Diana Gains Guide,,Rowing Machine,,,,,,0.0,1.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Stationary Bike,,,1.0,10.0,,-1.0,1.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Supine Hamstring Stretch with Strap,,,3.0,30.0,,0.0,1.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Supine Quadriceps Stretch with Strap,,,3.0,30.0,,0.0,2.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Gastroc Stretch with Foot at Wall,,,3.0,30.0,,0.0,2.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Eccentric Heel Lowering on Step,,,3.0,10.0,,0.0,3.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Bent Knee Eccentric Heel Lowering on Step,,,3.0,10.0,,0.0,4.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Heel Taps,,,3.0,10.0,,0.0,5.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Dead Bugs,,,3.0,10.0,,0.0,5.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Romanian Deadlift,,,3.0,10.0,,0.0,6.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Side Stepping with Resistance at Ankles,,,3.0,10.0,,0.0,7.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Single Leg Bridge,,,3.0,10.0,,0.0,8.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Ankle Dorsiflexion with Resistance,,,3.0,10.0,,0.0,9.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Ankle Inversion with Resistance,,,3.0,10.0,,0.0,10.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Long Sitting Ankle Eversion with Resistance,,,3.0,10.0,,0.0,11.0
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Legs Strength,Deadlift,,,3.0,8.0,,,
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Legs Strength,Barbell Squat,,,3.0,8.0,,,
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Legs Strength,Seated Calf Raise Machine,,,3.0,8.0,,,
2019-02-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Stationary Bike,,,1.0,,20m,1.0,1.0
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Prone Scapular Depression,,,1.0,20.0,5s,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Standing High Shoulder Row with Anchored Resistance,,,3.0,10.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Dumbbell Row,,,3.0,10.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Prone Chest Stretch on Chair,,,1.0,10.0,10s,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Cable Face Pull,,,3.0,10.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Physical Therapy,Doorway Pec Stretch at 90 Degrees Abduction,,,3.0,,30s,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Strength,Flat Barbell Bench Press,0.825,,3.0,5.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Strength,Seated Cable Row,,8.0,3.0,5.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Strength,Seated Dumbbell Overhead Press,0.725,,2.0,8.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Strength,Pull Up,,8.0,2.0,8.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Strength,Standing Incline Cable Fly,,8.0,2.0,15.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Hypertrophy,Flat Barbell Bench Press,0.675,,3.0,10.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Hypertrophy,Seated Cable Row,,8.0,3.0,10.0,,,
2019-05-28,2019-08-30,Episode VI: Return of the Legs,Hypertrophy,Incline Barbell Bench Press,,8.0,2.0,12.0,,,
