id,date,routine,category,exercise,weight,reps,rpe,intensity,one_rep_max,volume,relative_volume,distance,time,speed,comment
0,2014-06-07,,Back,Lat Pulldown,150.0,10.0,,0.75,200.0,1500.0,1125.0,,,,
0,2014-06-07,,Back,Lat Pulldown,150.0,10.0,,0.75,200.0,1500.0,1125.0,,,,
0,2014-06-07,,Back,Lat Pulldown,150.0,10.0,,0.75,200.0,1500.0,1125.0,,,,
0,2014-06-07,,Back,Seated Back Extension,120.0,10.0,,0.75,160.0,1200.0,900.0,,,,
0,2014-06-07,,Back,Seated Back Extension,120.0,10.0,,0.75,160.0,1200.0,900.0,,,,
0,2014-06-07,,Back,Seated Back Extension,120.0,10.0,,0.75,160.0,1200.0,900.0,,,,
0,2014-06-07,,Back,Pull Up,,8.0,,,,,,,,,
0,2014-06-07,,Back,Pull Up,,5.0,,,,,,,,,
0,2014-06-07,,Back,Pull Up,,1.0,,,,,,,,,
1,2014-06-08,,Chest,Flat Dumbbell Bench Press,55.0,10.0,,0.75,73.0,550.0,412.0,,,,
1,2014-06-08,,Chest,Flat Dumbbell Bench Press,55.0,10.0,,0.75,73.0,550.0,412.0,,,,
1,2014-06-08,,Chest,Flat Dumbbell Bench Press,55.0,10.0,,0.75,73.0,550.0,412.0,,,,
1,2014-06-08,,Chest,Push Up,0.0,10.0,,,0.0,0.0,,,,,
2,2014-06-10,,Legs,Seated Leg Curl Machine,210.0,10.0,,0.75,280.0,2100.0,1575.0,,,,
2,2014-06-10,,Legs,Seated Leg Curl Machine,210.0,10.0,,0.75,280.0,2100.0,1575.0,,,,
2,2014-06-10,,Legs,Seated Leg Curl Machine,195.0,10.0,,0.7,280.0,1950.0,1365.0,,,,Right knee started bothering me
2,2014-06-10,,Legs,Leg Press,225.0,10.0,,0.75,300.0,2250.0,1687.0,,,,
2,2014-06-10,,Legs,Leg Press,225.0,10.0,,0.75,300.0,2250.0,1687.0,,,,
2,2014-06-10,,Legs,Leg Press,225.0,10.0,,0.75,300.0,2250.0,1687.0,,,,
3,2014-06-17,,Chest,Flat Dumbbell Bench Press,55.0,10.0,,0.75,73.0,550.0,412.0,,,,
3,2014-06-17,,Chest,Flat Dumbbell Bench Press,55.0,10.0,,0.75,73.0,550.0,412.0,,,,
3,2014-06-17,,Chest,Flat Dumbbell Bench Press,55.0,8.0,,0.75,73.0,440.0,330.0,,,,
3,2014-06-17,,Biceps,Dumbbell Hammer Curl,35.0,8.0,,0.8,44.0,280.0,224.0,,,,
3,2014-06-17,,Biceps,Dumbbell Hammer Curl,35.0,5.0,,0.8,44.0,175.0,140.0,,,,
4,2014-06-18,,Cardio,Stationary Bike,,,,,,,,1.4,300.0,16.8,
4,2014-06-18,,Cardio,Rowing Machine,,,,,,,,0.722033102,300.0,8.664397224000002,
5,2014-06-19,,Cardio,Running (Treadmill),,,,,,,,0.55,301.0,6.578073089700998,"Right knee, ankle, and instep starting hurting. Never start on treadmill cold"
5,2014-06-19,,Biceps,Dumbbell Hammer Curl,40.0,6.0,,0.83,48.0,240.0,199.0,,,,
5,2014-06-19,,Biceps,Dumbbell Hammer Curl,35.0,5.0,,0.73,48.0,175.0,127.0,,,,
5,2014-06-19,,Chest,Flat Dumbbell Bench Press,60.0,10.0,,0.75,80.0,600.0,450.0,,,,
5,2014-06-19,,Chest,Flat Dumbbell Bench Press,60.0,10.0,,0.75,80.0,600.0,450.0,,,,
5,2014-06-19,,Back,Pull Up,,6.0,,,,,,,,,
5,2014-06-19,,Back,Pull Up,,5.0,,,,,,,,,
5,2014-06-19,,Back,Pull Up,,4.0,,,,,,,,,
5,2014-06-19,,Legs,Leg Press,225.0,10.0,,0.7,320.0,2250.0,1575.0,,,,
5,2014-06-19,,Legs,Leg Press,240.0,10.0,,0.75,320.0,2400.0,1800.0,,,,
5,2014-06-19,,Legs,Leg Press,240.0,10.0,,0.75,320.0,2400.0,1800.0,,,,
5,2014-06-19,,Legs,Standing Calf Raise Machine,70.0,10.0,,0.75,93.0,700.0,525.0,,,,
5,2014-06-19,,Legs,Standing Calf Raise Machine,70.0,10.0,,0.75,93.0,700.0,525.0,,,,
5,2014-06-19,,Legs,Standing Calf Raise Machine,70.0,10.0,,0.75,93.0,700.0,525.0,,,,
6,2014-06-22,,Cardio,Stationary Bike,,,,,,,,1.6,300.0,19.200000000000003,
6,2014-06-22,,Cardio,Running (Treadmill),,,,,,,,0.63,316.0,7.177215189873418,
6,2014-06-22,,Legs,Leg Press,255.0,10.0,,0.75,340.0,2550.0,1912.0,,,,
6,2014-06-22,,Legs,Leg Press,255.0,10.0,,0.75,340.0,2550.0,1912.0,,,,
6,2014-06-22,,Legs,Leg Press,255.0,10.0,,0.75,340.0,2550.0,1912.0,,,,
6,2014-06-22,,Legs,Standing Calf Raise Machine,135.0,10.0,,0.75,180.0,1350.0,1012.0,,,,
6,2014-06-22,,Legs,Standing Calf Raise Machine,120.0,10.0,,0.67,180.0,1200.0,804.0,,,,
6,2014-06-22,,Legs,Standing Calf Raise Machine,120.0,10.0,,0.67,180.0,1200.0,804.0,,,,
6,2014-06-22,,Back,Pull Up,,10.0,,,,,,,,,
6,2014-06-22,,Back,Pull Up,,6.0,,,,,,,,,
6,2014-06-22,,Back,Pull Up,,5.0,,,,,,,,,
6,2014-06-22,,Back,Pull Up,,4.0,,,,,,,,,
7,2014-06-24,,Cardio,Stationary Bike,,,,,,,,1.48,300.0,17.76,
7,2014-06-24,,Cardio,Running (Treadmill),,,,,,,,0.56,300.0,6.720000000000001,
7,2014-06-24,,Biceps,Dumbbell Hammer Curl,40.0,5.0,,0.83,48.0,200.0,166.0,,,,
7,2014-06-24,,Biceps,Dumbbell Hammer Curl,35.0,5.0,,0.73,48.0,175.0,127.0,,,,
7,2014-06-24,,Biceps,Dumbbell Hammer Curl,35.0,10.0,,0.73,48.0,350.0,255.0,,,,
7,2014-06-24,,Biceps,Dumbbell Hammer Curl,35.0,5.0,,0.73,48.0,175.0,127.0,,,,
