date,routine,category,exercise,sets,reps,avg_intensity,volume,relative_volume
2014-06-07,,Back,Lat Pulldown,3,30,0.75,4500.0,3375.0
2014-06-07,,Back,Seated Back Extension,3,30,0.75,3600.0,2700.0
2014-06-08,,Chest,Flat Dumbbell Bench Press,3,30,0.75,1650.0,1236.0
2014-06-10,,Legs,Leg Press,3,30,0.75,6750.0,5061.0
2014-06-10,,Legs,Seated Leg Curl Machine,3,30,0.7333333333333334,6150.0,4515.0
2014-06-17,,Biceps,Dumbbell Hammer Curl,2,13,0.8,455.0,364.0
2014-06-17,,Chest,Flat Dumbbell Bench Press,3,28,0.75,1540.0,1154.0
2014-06-19,,Biceps,Dumbbell Hammer Curl,2,11,0.78,415.0,326.0
2014-06-19,,Chest,Flat Dumbbell Bench Press,2,20,0.75,1200.0,900.0
2014-06-19,,Legs,Leg Press,3,30,0.7333333333333334,7050.0,5175.0
2014-06-19,,Legs,Standing Calf Raise Machine,3,30,0.75,2100.0,1575.0
2014-06-22,,Legs,Leg Press,3,30,0.75,7650.0,5736.0
2014-06-22,,Legs,Standing Calf Raise Machine,3,30,0.6966666666666667,3750.0,2620.0
2014-06-24,,Biceps,Dumbbell Hammer Curl,4,25,0.755,900.0,675.0
2014-06-24,,Chest,Flat Dumbbell Bench Press,3,25,0.75,1500.0,1125.0
2014-06-24,,Back,Lat Pulldown,3,30,0.75,4500.0,3375.0
2014-07-01,,Biceps,Dumbbell Curl,1,10,0.74,350.0,259.0
2014-07-01,,Chest,Flat Dumbbell Bench Press,3,26,0.75,1560.0,1170.0
2014-07-02,,Back,Lat Pulldown,3,30,0.75,4650.0,3486.0
2014-07-05,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-07-07,,Biceps,Dumbbell Hammer Curl,3,19,0.73,665.0,484.0
2014-07-07,,Chest,Flat Dumbbell Bench Press,3,30,0.71,1850.0,1313.0
2014-07-09,,Back,Dumbbell Row,3,30,0.75,1800.0,1350.0
2014-07-09,,Back,Seated Cable Row,3,24,0.79,2880.0,2274.0
2014-07-10,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-07-13,,Triceps,Dumbbell Overhead Triceps Extension,2,20,0.75,1000.0,750.0
2014-07-13,,Triceps,Dumbbell Tricep Kickback,1,10,0.75,300.0,225.0
2014-07-15,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-07-16,,Chest,Flat Dumbbell Bench Press,3,30,0.75,1950.0,1461.0
2014-07-21,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-07-22,,Legs,Leg Press,3,30,0.75,7650.0,5736.0
2014-07-22,,Legs,Standing Calf Raise Machine,3,30,0.6966666666666667,3750.0,2620.0
2014-07-23,,Back,Lat Pulldown,3,30,0.7200000000000001,4500.0,3240.0
2014-07-23,,Back,T-Bar Row,3,30,0.75,3600.0,2700.0
2014-07-27,,Shoulders,Dumbbell Shoulder Press,3,30,0.75,1350.0,1011.0
2014-07-27,,Chest,Seated Machine Fly,5,25,0.704,3885.0,2836.0
2014-07-27,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-07-28,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-07-30,,Back,Lat Pulldown,3,30,0.7200000000000001,4500.0,3240.0
2014-07-30,,Back,T-Bar Row,3,30,0.75,4050.0,3036.0
2014-08-04,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-08-08,,Chest,Seated Machine Fly,6,26,0.7266666666666666,4260.0,3171.0
2014-08-12,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-08-14,,Back,Dumbbell Row,3,30,0.75,1950.0,1461.0
2014-08-15,,Shoulders,Dumbbell Shoulder Press,5,34,0.5479999999999999,1130.0,625.0
2014-08-17,,Chest,Flat Dumbbell Bench Press,15,196,0.594,14030.0,8446.0
2014-08-18,,Back,Bent Over Row,15,194,0.6466666666666666,17840.0,11594.0
2014-09-03,,Chest,Flat Dumbbell Bench Press,15,196,0.594,14030.0,8446.0
2014-09-06,,Back,Bent Over Row,15,194,0.6466666666666666,17840.0,11594.0
2014-10-17,,Back,Bent Over Row,7,90,0.6542857142857142,8400.0,5530.0
2014-10-17,,Back,Lat Pulldown,2,30,0.67,3450.0,2310.0
2014-10-18,,Chest,Flat Barbell Bench Press,5,70,0.6340000000000001,5300.0,3362.0
2014-11-21,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-11-30,,Legs,Dumbbell Calf Raise,1,10,0.75,800.0,600.0
2014-11-30,,Biceps,Dumbbell Curl,5,30,0.6980000000000001,850.0,603.0
2014-11-30,,Legs,Dumbbell Lunge,1,10,0.75,400.0,300.0
2014-11-30,,Chest,Flat Barbell Bench Press,3,15,0.79,2625.0,2073.0
2014-11-30,,Chest,Flat Dumbbell Bench Press,3,30,0.7033333333333335,1550.0,1092.0
2014-12-18,,Chest,Flat Dumbbell Bench Press,15,141,0.5886666666666668,6055.0,3636.0
2014-12-19,,Legs,Dumbbell Calf Raise,3,30,0.75,3000.0,2250.0
2014-12-19,,Legs,Dumbbell Lunge,1,10,0.75,400.0,300.0
2014-12-20,,Biceps,Dumbbell Curl,3,22,0.62,550.0,341.0
2014-12-20,,Back,Lat Pulldown,3,24,0.7600000000000001,3090.0,2332.0
2014-12-22,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-12-26,,Chest,Flat Dumbbell Bench Press,15,124,0.7146666666666666,6510.0,4688.0
2014-12-26,,Back,Lat Pulldown,3,30,0.75,4050.0,3036.0
2014-12-27,,Legs,Dumbbell Lunge,3,30,0.7000000000000001,1400.0,990.0
2014-12-27,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-12-29,,Legs,Dumbbell Lunge,3,30,0.7233333333333333,1450.0,1051.0
2014-12-29,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2014-12-30,,Chest,Flat Barbell Bench Press,4,31,0.76,4760.0,3629.0
2014-12-30,,Chest,Incline Barbell Bench Press,3,24,0.6766666666666666,2340.0,1612.0
2014-12-30,,Legs,Seated Calf Raise Machine,3,30,0.68,1900.0,1320.0
2014-12-31,,Back,Hammer Strength Row,3,30,0.75,1650.0,1236.0
2014-12-31,,Back,Lat Pulldown,3,17,0.7266666666666667,2520.0,1870.0
2015-01-02,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2015-01-03,,Legs,Dumbbell Lunge,3,30,0.7033333333333335,1550.0,1092.0
2015-01-05,,Chest,Flat Dumbbell Bench Press,6,60,0.7200000000000001,3450.0,2487.0
2015-01-06,,Back,Deadlift,4,40,0.72,5200.0,3748.0
2015-01-06,,Back,Lat Pulldown,3,30,0.6999999999999998,4200.0,2937.0
2015-01-06,,Shoulders,Rear Delt Machine Fly,4,48,0.6799999999999999,3900.0,2653.0
2015-01-09,,Back,Deadlift,1,10,0.72,1300.0,936.0
2015-01-09,,Legs,Dumbbell Lunge,4,40,0.7325,2150.0,1576.0
2015-01-09,,Back,Dumbbell Row,3,30,0.75,1500.0,1125.0
2015-01-09,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2015-01-12,,Chest,Flat Dumbbell Bench Press,2,20,0.62,1000.0,620.0
2015-01-13,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2015-02-15,,Biceps,Dumbbell Curl,5,30,0.724,870.0,632.0
2015-02-15,,Chest,Flat Dumbbell Bench Press,8,65,0.68125,2965.0,2024.0
2015-03-03,,Back,Lat Pulldown,9,81,0.691111111111111,9700.0,6719.0
2015-03-15,,Legs,Dumbbell Calf Raise,5,50,0.75,4500.0,3375.0
2015-03-15,,Legs,Dumbbell Lunge,3,30,0.75,1350.0,1011.0
2015-03-15,,Legs,Hip Abduction,3,30,0.75,5250.0,3936.0
2015-03-15,,Legs,Hip Adduction,3,30,0.75,1950.0,1461.0
2015-03-18,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2015-03-19,,Shoulders,Dumbbell Shoulder Press,3,24,0.79,720.0,567.0
2015-03-19,,Chest,Flat Barbell Bench Press,4,28,0.7975,3970.0,3129.0
2015-03-20,,Cooldown,Cooldown And Stretch,1,1,1.0,1.0,1.0
2015-03-21,,Biceps,Dumbbell Hammer Curl,3,25,0.7466666666666666,525.0,383.0
2015-03-21,,Back,Lat Pulldown,6,50,0.7250000000000001,6760.0,4913.0
2015-03-24,,Legs,Dumbbell Calf Raise,5,50,0.75,5000.0,3750.0
2015-03-24,,Legs,Dumbbell Lunge,4,40,0.675,1800.0,1260.0
2015-03-24,,Legs,Hip Abduction,3,30,0.75,5400.0,4050.0
2015-03-24,,Legs,Hip Adduction,3,30,0.75,2100.0,1575.0
