date,weekday,routine,category,primary_lift,sets,volume,completion_rate,days_since_workout,days_since_category
2014-06-07,Saturday,,Back,Lat Pulldown,9,8100.0,,0,0
2014-06-08,Sunday,,Chest,Flat Dumbbell Bench Press,4,1650.0,,1,0
2014-06-10,Tuesday,,Legs,Leg Press,6,12900.0,,2,0
2014-06-17,Tuesday,,Chest,Flat Dumbbell Bench Press,5,1995.0,,7,9
2014-06-18,Wednesday,,Cardio,Cardio,2,0.0,,1,0
2014-06-19,Thursday,,Legs,Leg Press,14,10765.0,,1,9
2014-06-22,Sunday,,Legs,Leg Press,12,11400.0,,3,3
2014-06-24,Tuesday,,Back,Lat Pulldown,15,6900.0,,2,17
2014-06-26,Thursday,,Cardio,Cardio,2,0.0,,2,8
2014-06-30,Monday,,Cardio,Cardio,2,0.0,,4,4
2014-07-01,Tuesday,,Chest,Flat Dumbbell Bench Press,6,1910.0,,1,14
2014-07-02,Wednesday,,Back,Lat Pulldown,9,4650.0,,1,8
2014-07-05,Saturday,,Abs,Undefined Ab Workout,2,1.0,,3,0
2014-07-07,Monday,,Chest,Flat Dumbbell Bench Press,8,2515.0,,2,6
2014-07-09,Wednesday,,Back,Seated Cable Row,11,4680.0,,2,7
2014-07-10,Thursday,,Abs,Undefined Ab Workout,2,1.0,,1,5
2014-07-13,Sunday,,Triceps,Dumbbell Overhead Triceps Extension,4,1300.0,,3,0
2014-07-15,Tuesday,,Abs,Undefined Ab Workout,4,1.0,,2,5
2014-07-16,Wednesday,,Chest,Flat Dumbbell Bench Press,3,1950.0,,1,9
2014-07-17,Thursday,,Cardio,Cardio,2,0.0,,1,17
2014-07-21,Monday,,Abs,Undefined Ab Workout,3,1.0,,4,6
2014-07-22,Tuesday,,Legs,Leg Press,12,11400.0,,1,30
2014-07-23,Wednesday,,Back,Lat Pulldown,8,8100.0,,1,14
2014-07-25,Friday,,Cardio,Cardio,1,0.0,,2,8
2014-07-27,Sunday,,Chest,Seated Machine Fly,14,5236.0,,2,11
2014-07-28,Monday,,Abs,Undefined Ab Workout,3,1.0,,1,7
2014-07-30,Wednesday,,Back,Lat Pulldown,7,8550.0,,2,7
2014-07-31,Thursday,,Cardio,Cardio,1,0.0,,1,6
2014-08-04,Monday,,Abs,Undefined Ab Workout,3,1.0,,4,7
2014-08-07,Thursday,,Cardio,Cardio,5,0.0,,3,7
2014-08-08,Friday,,Chest,Seated Machine Fly,6,4260.0,,1,12
2014-08-11,Monday,,Cardio,Cardio,2,0.0,,3,4
2014-08-12,Tuesday,,Abs,Undefined Ab Workout,3,1.0,,1,8
2014-08-14,Thursday,,Back,Dumbbell Row,8,1950.0,,2,15
2014-08-15,Friday,,Shoulders,Dumbbell Shoulder Press,6,1130.0,,1,0
2014-08-17,Sunday,,Chest,Flat Dumbbell Bench Press,15,14030.0,,2,9
2014-08-18,Monday,,Back,Bent Over Row,15,17840.0,,1,4
2014-09-03,Wednesday,,Chest,Flat Dumbbell Bench Press,15,14030.0,,16,17
2014-09-06,Saturday,,Back,Bent Over Row,15,17840.0,,3,19
2014-10-17,Friday,,Back,Lat Pulldown,9,11850.0,,41,41
2014-10-18,Saturday,,Chest,Flat Barbell Bench Press,5,5300.0,,1,45
2014-11-21,Friday,,Abs,Undefined Ab Workout,1,1.0,,34,101
2014-11-30,Sunday,,Chest,Flat Barbell Bench Press,13,6225.0,,9,43
2014-12-18,Thursday,,Chest,Flat Dumbbell Bench Press,16,6055.0,,18,18
2014-12-19,Friday,,Legs,Dumbbell Calf Raise,4,3400.0,,1,150
2014-12-20,Saturday,,Back,Lat Pulldown,11,3640.0,,1,64
2014-12-22,Monday,,Abs,Undefined Ab Workout,1,1.0,,2,31
2014-12-26,Friday,,Back,Lat Pulldown,22,10560.0,,4,6
2014-12-27,Saturday,,Legs,Dumbbell Lunges,4,1401.0,,1,8
2014-12-29,Monday,,Legs,Dumbbell Lunges,4,1451.0,,2,2
2014-12-30,Tuesday,,Chest,Flat Barbell Bench Press,13,9000.0,,1,12
2014-12-31,Wednesday,,Back,Lat Pulldown,11,4170.0,,1,5
2015-01-02,Friday,,Abs,Undefined Ab Workout,1,1.0,,2,11
2015-01-03,Saturday,,Legs,Dumbbell Lunges,3,1550.0,,1,5
2015-01-05,Monday,,Chest,Flat Dumbbell Bench Press,7,3450.0,,2,6
2015-01-06,Tuesday,,Back,Lat Pulldown,16,13300.0,,1,6
2015-01-09,Friday,,Back,Deadlift,10,4951.0,,3,3
2015-01-12,Monday,,Chest,Flat Dumbbell Bench Press,4,1000.0,,3,7
2015-01-13,Tuesday,,Abs,Undefined Ab Workout,2,1.0,,1,11
2015-02-15,Sunday,,Chest,Flat Dumbbell Bench Press,13,3835.0,,33,34
2015-03-03,Tuesday,,Back,Lat Pulldown,10,9700.0,,16,53
2015-03-15,Sunday,,Legs,Hip Abduction,15,13050.0,,12,71
2015-03-16,Monday,,Cardio,Cardio,1,0.0,,1,217
2015-03-18,Wednesday,,Abs,Undefined Ab Workout,2,1.0,,2,64
2015-03-19,Thursday,,Chest,Flat Barbell Bench Press,7,4690.0,,1,32
2015-03-20,Friday,,Cooldown,Cooldown And Stretch,1,1.0,,1,0
2015-03-21,Saturday,,Back,Lat Pulldown,10,7285.0,,1,18
2015-03-24,Tuesday,,Legs,Hip Abduction,16,14300.0,,3,9
2015-03-27,Friday,,Chest,Flat Dumbbell Bench Press,7,2125.0,,3,8
2015-03-28,Saturday,,Back,Lat Pulldown,14,8095.0,,1,7
2015-06-20,Saturday,,Triceps,Rope Push Down,12,6300.0,,84,342
2015-06-21,Sunday,,Biceps,Dumbbell Curl,8,2600.0,,1,0
2015-06-22,Monday,,Back,Lat Pulldown,16,10550.0,,1,86
2015-06-24,Wednesday,,Legs,Leg Press,6,12000.0,,2,92
2015-07-24,Friday,,Back,Flat Barbell Bench Press,15,10810.0,,30,32
2015-07-25,Saturday,,Legs,Dumbbell Calf Raise,19,9150.0,,1,31
2015-07-26,Sunday,,Back,Lat Pulldown,9,7675.0,,1,2
2015-07-27,Monday,,Triceps,Rope Push Down,11,4105.0,,1,37
2015-07-29,Wednesday,,Back,Deadlift,4,4545.0,,2,3
2015-10-17,Saturday,,Back,Lat Pulldown,13,7700.0,,80,80
2015-11-01,Sunday,,Chest,Flat Dumbbell Bench Press,7,2850.0,,15,219
2015-12-22,Tuesday,,Chest,Flat Barbell Bench Press,22,12065.0,,51,51
2015-12-23,Wednesday,,Back,Barbell Row,10,5260.0,,1,67
2015-12-24,Thursday,,Cardio,Cardio,2,0.0,,1,283
2015-12-26,Saturday,,Triceps,Close Grip Barbell Bench Press,22,15175.0,,2,152
2015-12-28,Monday,,Legs,Deadlift,19,15080.0,,2,156
2015-12-30,Wednesday,,Chest,Flat Barbell Bench Press,18,12050.0,,2,8
2016-01-02,Saturday,,Back,Seated Back Extension,25,22080.0,,3,10
2016-01-04,Monday,,Triceps,Close Grip Barbell Bench Press,33,19227.5,,2,9
2016-01-05,Tuesday,,Legs,Barbell Squat,17,16265.0,,1,8
2016-01-10,Sunday,,Chest,Flat Barbell Bench Press,19,13285.0,,5,11
2016-01-11,Monday,,Back,Seated Back Extension,30,22432.0,,1,9
2016-01-14,Thursday,,Abs,The Choi Ab Routine,2,1.0,,3,302
2016-01-21,Thursday,,Back,Barbell Shrug,21,9300.0,,7,10
2016-02-04,Thursday,,Chest,Flat Barbell Bench Press,18,13650.0,,14,25
2016-02-09,Tuesday,,Back,Lat Pulldown,14,10687.5,,5,19
2016-02-16,Tuesday,,Legs,Deadlift,16,14480.0,,7,42
2016-02-18,Thursday,,Back,Barbell Shrug,16,11812.0,,2,9
2016-03-15,Tuesday,,Chest,Flat Barbell Bench Press,7,5850.0,,26,40
2016-03-16,Wednesday,,Biceps,Barbell Curl,9,2915.0,,1,269
2016-03-22,Tuesday,,Legs,Barbell Squat,7,6075.0,,6,35
2016-03-24,Thursday,,Chest,Flat Barbell Bench Press,9,6245.0,,2,9
2016-03-31,Thursday,,Back,Lat Pulldown,10,5420.0,,7,42
2016-04-01,Friday,,Shoulders,Overhead Press,15,6707.0,,1,595
2016-04-05,Tuesday,,Legs,Barbell Squat,18,24300.0,,4,14
2016-04-12,Tuesday,,Chest,Flat Barbell Bench Press,14,9815.0,,7,19
2016-04-13,Wednesday,,Back,Lat Pulldown,24,13690.0,,1,13
2016-04-15,Friday,,Legs,Barbell Squat,17,26055.0,,2,10
2016-04-16,Saturday,,Back,Overhead Press,18,12940.0,,1,3
2016-04-19,Tuesday,,Legs,Barbell Squat,18,27830.0,,3,4
2016-04-22,Friday,,Chest,Flat Barbell Bench Press,10,8155.0,,3,10
2016-04-23,Saturday,,Back,Lat Pulldown,9,7490.0,,1,7
2016-04-24,Sunday,,Shoulders,Overhead Press,5,4440.0,,1,23
2016-05-03,Tuesday,,Legs,Barbell Squat,18,28755.0,,9,14
2016-05-16,Monday,,Legs,Barbell Squat,17,24230.0,,13,13
2016-05-17,Tuesday,,Chest,Flat Barbell Bench Press,16,14815.0,,1,25
2016-05-18,Wednesday,,Back,Lat Pulldown,24,17315.0,,1,25
2016-05-20,Friday,,Shoulders,Overhead Press,11,4630.0,,2,26
2016-05-23,Monday,,Cardio,Cardio,3,0.0,,3,151
2016-05-24,Tuesday,,Chest,Flat Barbell Bench Press,16,14190.0,,1,7
2016-05-25,Wednesday,,Legs,Barbell Squat,19,24600.0,,1,9
2016-05-26,Thursday,,Cardio,Cardio,1,0.0,,1,3
2016-06-01,Wednesday,,Back,Lat Pulldown,21,18010.0,,6,14
2016-06-04,Saturday,,Chest,Flat Barbell Bench Press,17,13895.0,,3,11
2016-06-06,Monday,,Back,Barbell Shrug,21,21000.0,,2,5
2016-06-08,Wednesday,,Legs,Barbell Squat,20,29531.0,,2,14
2016-06-10,Friday,,Back,Lat Pulldown,21,17010.0,,2,4
2016-06-11,Saturday,,Chest,Flat Barbell Bench Press,5,3450.0,,1,7
2016-06-13,Monday,,Shoulders,Overhead Press,14,7041.0,,2,24
2016-06-16,Thursday,,Legs,Barbell Squat,22,33170.0,,3,8
2016-06-18,Saturday,,Chest,Flat Barbell Bench Press,20,18685.0,,2,7
2016-06-22,Wednesday,,Back,Close Grip Barbell Bench Press,25,20630.0,,4,12
2016-06-23,Thursday,,Back,Lat Pulldown,12,11931.0,,1,1
2016-06-24,Friday,,Legs,Barbell Squat,9,8325.0,,1,8
2016-06-25,Saturday,,Chest,Deadlift,23,23130.0,,1,7
2016-06-29,Wednesday,,Back,Close Grip Barbell Bench Press,25,17040.0,,4,6
2016-06-30,Thursday,,Legs,Dumbbell Calf Raise,28,38750.0,,1,6
2016-07-01,Friday,,Back,Lat Pulldown,22,18400.0,,1,2
2016-07-02,Saturday,,Chest,Flat Barbell Bench Press,12,11675.0,,1,7
2016-07-04,Monday,,Triceps,Close Grip Barbell Bench Press,17,9700.0,,2,182
2016-07-05,Tuesday,,Legs,Barbell Squat,33,45101.0,,1,5
2016-07-06,Wednesday,,Back,Lat Pulldown,27,21535.0,,1,5
2016-07-09,Saturday,,Chest,Flat Barbell Bench Press,14,7685.0,,3,7
2016-07-11,Monday,,Back,Barbell Shrug,28,22130.0,,2,5
2016-07-14,Thursday,,Legs,Barbell Squat,20,31745.0,,3,9
2016-07-15,Friday,,Back,Seated Cable Row,20,11375.0,,1,4
2016-07-16,Saturday,,Chest,Flat Barbell Bench Press,24,21736.0,,1,7
2016-07-18,Monday,,Shoulders,Overhead Press,10,4965.0,,2,35
2016-07-19,Tuesday,,Legs,Barbell Squat,30,47890.0,,1,5
2016-07-22,Friday,,Forearms,Forearm Curls,10,4000.0,,3,0
2016-07-25,Monday,,Legs,Barbell Squat,30,47425.0,,3,6
