,date,one_rep_max,mean_reps,routine,completion_rate,total_volume,max_weight,workout_day,primary_lift,days_since_last_workout,days_since_last_workout_day,weekday,age,bodyweight
0,2014-06-07,200.0,8.222222222222221,n/a,1.0,8114.0,150.0,Back,Lat Pulldown,0 days 00:00:00.000000000,0 days 00:00:00.000000000,Saturday,19,
1,2014-06-08,73.33333333333333,10.0,n/a,0.75,1650.0,55.0,Chest,Flat Dumbbell Bench Press,1 days 00:00:00.000000000,0 days 00:00:00.000000000,Sunday,19,
2,2014-06-10,300.0,10.0,n/a,1.0,12900.0,225.0,Legs,Leg Press,2 days 00:00:00.000000000,0 days 00:00:00.000000000,Tuesday,19,
3,2014-06-17,73.33333333333333,8.2,n/a,1.0,1995.0,55.0,Chest,Flat Dumbbell Bench Press,7 days 00:00:00.000000000,9 days 00:00:00.000000000,Tuesday,19,
4,2014-06-19,320.0,8.153846153846153,n/a,1.0,10780.0,240.0,Legs,Leg Press,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Thursday,19,
5,2014-06-22,340.0,8.5,n/a,1.0,11425.0,255.0,Legs,Leg Press,3 days 00:00:00.000000000,3 days 00:00:00.000000000,Sunday,19,
6,2014-06-24,200.0,7.615384615384615,n/a,1.0,6919.0,150.0,Back,Lat Pulldown,2 days 00:00:00.000000000,17 days 00:00:00.000000000,Tuesday,19,
7,2014-07-01,80.0,9.0,n/a,1.0,1910.0,60.0,Chest,Flat Dumbbell Bench Press,7 days 00:00:00.000000000,14 days 00:00:00.000000000,Tuesday,19,
8,2014-07-02,206.66666666666666,7.166666666666667,n/a,1.0,4663.0,155.0,Back,Lat Pulldown,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Wednesday,19,
9,2014-07-07,86.66666666666667,8.166666666666666,n/a,1.0,2515.0,65.0,Chest,Flat Dumbbell Bench Press,5 days 00:00:00.000000000,6 days 00:00:00.000000000,Monday,19,
10,2014-07-09,152.0,7.666666666666667,n/a,1.0,4695.0,120.0,Back,Seated Cable Row,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,19,
11,2014-07-13,66.66666666666667,10.0,n/a,1.0,1300.0,50.0,Chest,Dumbbell Overhead Triceps Extension,4 days 00:00:00.000000000,6 days 00:00:00.000000000,Sunday,19,
12,2014-07-16,86.66666666666667,10.0,n/a,1.0,1950.0,65.0,Chest,Flat Dumbbell Bench Press,3 days 00:00:00.000000000,3 days 00:00:00.000000000,Wednesday,19,
13,2014-07-22,340.0,8.5,n/a,1.0,11425.0,255.0,Legs,Leg Press,6 days 00:00:00.000000000,30 days 00:00:00.000000000,Tuesday,19,
14,2014-07-23,200.0,10.0,n/a,1.0,8100.0,150.0,Back,Lat Pulldown,1 days 00:00:00.000000000,14 days 00:00:00.000000000,Wednesday,19,
15,2014-07-27,213.33333333333334,7.083333333333333,n/a,0.6666666666666666,5235.0,160.0,Chest,Seated Machine Fly,4 days 00:00:00.000000000,11 days 00:00:00.000000000,Sunday,19,
16,2014-07-30,200.0,10.0,n/a,1.0,8550.0,150.0,Back,Lat Pulldown,3 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,19,
