Date,Meal,Name,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre
31-May-16,Breakfast,"Starbucks - Grande Iced Skinny Caramel Machiatto, 16 oz",140,21,1,11,10,0,18,0
31-May-16,Breakfast,"Bethesda - Granola Bagel, 5 oz",350,68,4,11,0,20,11,3
1-Jun-16,Breakfast,"on - Gold Standard Natural Whey Protein (Vanilla), 1 rounded scoop (32g)",110,2,1,24,40,130,2,0
1-Jun-16,Breakfast,"Special K Protein Cereal - Cinnamon Brown Sugar, 62 g (0.75 Cup)",220,44,2,14,0,380,18,6
1-Jun-16,Breakfast,"Lucerne - Low Fat Milk 1%, 16 fluid ounce",260,32,5,22,30,320,30,0
1-Jun-16,Lunch,"Red Delicious - Apple, Small, 1 apple (2 1/2 &quot; diameter)",56,15,0,0,0,1,11,3
1-Jun-16,Lunch,"Chix Parm - Breaded Parmesan Chicken, 1.5 serving",792,47,27,65,296,1230,8,3
1-Jun-16,Dinner,"Green Giant Steamers - Broccoli &amp; Cheese Sauce, 3 cuo frozen/1/2 cup prepared",135,21,5,6,0,1140,9,6
1-Jun-16,Dinner,"Mla - Near East - Toasted Pine Nut Couscous, 1.5 Cup",300,59,4,12,0,690,3,3
1-Jun-16,Dinner,"Perdue - Perfect Portions Chicken Breast, 2 filet",280,4,3,58,140,740,2,0
1-Jun-16,Snacks,"Terra - Original Chips, 1 oz",150,16,9,1,0,115,3,2
1-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 1 scoop",120,3,1,24,30,130,1,0
2-Jun-16,Breakfast,"Trader Joe&#x27;s - Frosted Mini Wheats, 1 cup",200,42,1,5,0,0,11,5
2-Jun-16,Breakfast,"Tropicana - 100% Pure Orange Juice W/calcium &amp; Vitamin D, 8 oz",110,26,0,2,0,0,22,0
2-Jun-16,Breakfast,"Supermarket - Banana, 1 banana",105,27,0,0,0,1,0,3
2-Jun-16,Lunch,"Primo Taglio - Smoked honey ham, 16 slices",280,16,6,40,120,1600,12,0
2-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
2-Jun-16,Lunch,"Chobani - Greek Yogart Flip Peanut Butter Dream, 150 g",210,26,7,12,15,100,22,0
2-Jun-16,Lunch,"Old Tyme Schmidt - Honey wheat bread , 4 slice",320,60,2,12,0,520,8,4
2-Jun-16,Lunch,"Kraft - Mayo/ Olive Oil, 4 Tbsp",140,8,12,0,0,380,4,0
2-Jun-16,Dinner,"Birds Eye - Steamfresh Fresh Frozen Vegetables Lightly Sauced Broccoli, Cauliflower, Carrots With Cheese Sauce, 1 container (343 g (3/4 cup) ea.)",175,18,7,7,18,1190,7,4
2-Jun-16,Dinner,"Near East - Mediterranean Curry Couscous, 0.5 cup",330,60,2,12,0,750,3,5
2-Jun-16,Dinner,"Perdue - Perfect Portions Chicken Breast, 2 filet",280,4,3,58,140,740,2,0
2-Jun-16,Dinner,"Tropicana - Trop50 Pulp Free Calcium &amp; Vitamin D, 12 Oz",75,20,0,0,0,15,15,0
2-Jun-16,Snacks,"Welchs Mixed Fruit Fruit Snacks - Fat Free/real Fruit, 25.5 g",80,20,0,0,0,10,11,0
2-Jun-16,Snacks,"Mayfield - dairy pure 2% reduced fat milk, 2 cup",260,24,10,16,40,260,24,0
2-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 1.5 scoop",180,5,2,36,45,195,2,0
3-Jun-16,Breakfast,"Chobani - Greek Yogurt Flip - Peachy Pistachio, 1 Container",220,20,10,13,10,85,15,3
3-Jun-16,Breakfast,"Gold standard - Vanilla Whey Protein, 1.5 scoop",180,5,2,36,45,195,2,0
3-Jun-16,Breakfast,"Mayfield - dairy pure 2% reduced fat milk, 16 fluid ounce",260,24,10,16,40,260,24,0
3-Jun-16,Lunch,"Chobani - Greek Yogart Flip Peanut Butter Dream, 150 g",210,26,7,12,15,100,22,0
3-Jun-16,Lunch,"Kraft - Mayo/ Olive Oil, 4 Tbsp",140,8,12,0,0,380,4,0
3-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
3-Jun-16,Lunch,"Primo Taglio - Oven Roasted Turkey Breast, 18 slices/50g",300,6,3,66,120,2880,6,0
3-Jun-16,Lunch,"signature kitchen - whole wheat bread 100%, 4 slice",280,48,4,12,0,0,0,0
3-Jun-16,Snacks,"Chobani - Watermelon Blended Greek Yogurt, 150 grams",140,15,3,12,15,65,13,0
4-Jun-16,Breakfast,"Centrella - 2% Milk, 1.5 cup",195,18,8,12,30,195,18,0
4-Jun-16,Breakfast,"Gold standard - Vanilla Whey Protein, 1 scoop",120,3,1,24,30,130,1,0
4-Jun-16,Breakfast,"Aladdin Food - Bacon Quiche, 1 Wedge",586,24,44,24,276,880,1,0
4-Jun-16,Lunch,"signature kitchen - whole wheat bread 100%, 2 slice",140,24,2,6,0,0,0,0
4-Jun-16,Lunch,"Old Tyme Schmidt - Honey wheat bread , 2 slice",160,30,1,6,0,260,4,2
4-Jun-16,Lunch,"Chobani Greek Yogurt (Revised) - Simply 100 Blueberry, 150 grams",100,14,0,12,5,65,7,5
4-Jun-16,Lunch,"Chobani Simply 100 (Corrected) - Peach Greek Yogurt, 1 Container (150g)",100,14,0,12,5,65,7,5
4-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
4-Jun-16,Lunch,"Primo Taglio - Smoked honey ham, 16 slices",280,16,6,40,120,1600,12,0
4-Jun-16,Lunch,"Kraft Maccaroni and Cheese - Maccaroni and Cheese-Prepared, 2.5 oz",300,36,2,7,15,415,6,0
4-Jun-16,Snacks,"Quest - Chocolate Chip Cookie Dough (-erythritol), 1 Bar",190,20,9,21,5,210,1,16
4-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 2 scoop",240,6,2,48,60,260,2,0
5-Jun-16,Breakfast,"Trader Joe&#x27;s - Frosted Mini Wheats, 1 cup",200,42,1,5,0,0,11,5
5-Jun-16,Breakfast,"Tropicana - 100% Pure Orange Juice W/calcium &amp; Vitamin D, 8 oz",110,26,0,2,0,0,22,0
5-Jun-16,Lunch,"Tropicana - 100% Pure Orange Juice W/calcium &amp; Vitamin D, 8 oz",110,26,0,2,0,0,22,0
5-Jun-16,Lunch,"signature kitchen - whole wheat bread 100%, 2 slice",140,24,2,6,0,0,0,0
5-Jun-16,Lunch,"Kraft - Mayo/ Olive Oil, 4 Tbsp",140,8,12,0,0,380,4,0
5-Jun-16,Lunch,"Primo Taglio - Oven Roasted Turkey Breast, 9 slices/50g",150,3,2,33,60,1440,3,0
5-Jun-16,Lunch,"Chobani Simply 100 Greek Yogurt (5.3oz 150g) - Key Lime Blended, 1 container",100,16,0,12,5,90,8,5
5-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
5-Jun-16,Dinner,"Lime Cilantro Grilled Chicken, 1 serving(s)",450,13,17,65,200,187,1,1
5-Jun-16,Dinner,"Green Giant - Steamers Green Beans &amp; Almonds, 225 grams",120,12,6,3,0,240,3,3
5-Jun-16,Dinner,"Near East - Couscous Mix - Wild Mushroom &amp; Herb Made With 1 Tbsp Butter, 1.5 cup prepared",330,63,6,12,15,930,2,5
5-Jun-16,Dinner,"Lucerne - Low Fat Milk 1%, 1 cup",130,16,3,11,15,160,15,0
