Date,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre,Number of Quick Add Meals,Magnitude of Quick Add Meals
31-May-16,490,89,5,22,10,20,29,3,,
1-Jun-16,2423,243,57,226,536,4876,87,23,,
2-Jun-16,2841,382,52,201,378,5763,159,26,,
3-Jun-16,1826,178,51,168,245,3967,102,8,,
4-Jun-16,2507,231,75,213,546,4082,75,33,,
5-Jun-16,2186,301,49,154,295,3429,129,24,,
6-Jun-16,3279,375,96,245,388,5002,113,38,,
7-Jun-16,3665,492,127,154,205,5187,171,39,,
8-Jun-16,3058,358,80,247,365,4484,60,52,,
9-Jun-16,2550,263,107,150,260,3660,75,54,,
10-Jun-16,2695,243,115,191,336,3750,72,47,,
11-Jun-16,2075,298,34,150,263,4597,111,49,,
12-Jun-16,2610,210,40,53,30,1025,101,8,,
13-Jun-16,3645,515,92,232,343,5774,167,70,,
14-Jun-16,2689,337,104,133,866,2936,142,53,,
15-Jun-16,2645,209,39,125,213,1220,60,18,,
16-Jun-16,2375,269,56,115,145,1007,91,31,,
17-Jun-16,3019,195,72,118,195,4153,79,21,,
18-Jun-16,2610,228,99,219,1231,3967,76,30,,
19-Jun-16,2360,251,91,145,1023,2221,80,29,,
20-Jun-16,2581,340,54,163,273,4006,139,75,,
21-Jun-16,3080,216,70,65,25,1480,56,26,,
22-Jun-16,2957,176,34,181,450,3253,100,29,,
23-Jun-16,2821,365,96,144,180,2580,201,39,,
24-Jun-16,2475,134,29,160,220,1883,60,11,,
25-Jun-16,3135,265,58,112,63,1745,78,33,,
26-Jun-16,2400,354,49,138,160,4885,78,34,,
27-Jun-16,2909,235,129,233,498,3565,59,74,,
28-Jun-16,2378,265,40,141,170,3713,75,33,,
29-Jun-16,3161,319,56,130,85,2850,93,46,,
30-Jun-16,2817,280,79,242,1219,3510,117,32,,
1-Jul-16,1955,234,45,170,401,3853,81,51,,
2-Jul-16,1961,200,49,198,321,3101,79,41,,
3-Jul-16,2032,240,51,168,280,2744,53,34,,
4-Jul-16,3453,386,99,288,369,9287,92,51,,
5-Jul-16,4063,455,162,186,1237,4540,113,66,,
6-Jul-16,2666,293,50,232,323,3331,85,26,,
7-Jul-16,2628,317,51,188,202,5107,103,42,,
8-Jul-16,1741,164,69,133,183,2184,49,29,,
9-Jul-16,3102,122,41,106,138,1596,69,4,,
10-Jul-16,1713,183,36,183,142,2040,69,26,,
11-Jul-16,3268,371,132,222,873,4008,87,72,,
12-Jul-16,2365,306,77,154,172,3200,67,64,,
13-Jul-16,2304,180,41,130,157,2142,44,39,,
14-Jul-16,3282,343,112,248,230,4336,105,43,,
15-Jul-16,2830,329,78,235,269,5507,64,44,,
16-Jul-16,3006,262,30,132,77,1613,84,34,,
17-Jul-16,1990,136,59,40,135,1293,73,28,,
18-Jul-16,2312,199,46,90,1054,1958,51,30,,
19-Jul-16,3033,420,66,213,197,4349,138,56,,
20-Jul-16,2617,277,94,201,1049,3893,64,54,,
21-Jul-16,3534,271,60,152,99,2844,73,47,,
22-Jul-16,3052,437,61,243,147,4864,140,95,,
23-Jul-16,2577,317,31,255,374,5832,70,15,,
24-Jul-16,2415,237,106,143,667,3915,43,46,,
25-Jul-16,3410,414,78,285,424,5714,112,53,,
26-Jul-16,3002,419,92,155,155,5097,102,76,,
27-Jul-16,3062,243,35,194,259,2407,67,26,,
28-Jul-16,3482,111,21,92,95,1364,45,13,,
29-Jul-16,1366,217,38,72,4,1687,40,54,,
30-Jul-16,2947,79,30,55,740,1520,19,12,,
31-Jul-16,1636,46,23,65,208,681,6,0,,
1-Aug-16,2583,318,42,263,354,4682,100,44,,
2-Aug-16,2706,266,69,269,1181,4212,90,35,,
3-Aug-16,3245,305,99,306,1118,7375,58,63,,
4-Aug-16,2982,240,42,140,112,2982,65,36,,
5-Aug-16,3154,224,46,169,310,3667,64,38,,
6-Aug-16,4133,197,48,112,75,2238,42,29,,
7-Aug-16,2302,259,89,127,155,5170,43,33,,
8-Aug-16,2655,229,70,300,522,6028,52,53,,
9-Aug-16,2440,266,59,235,1294,4526,60,52,,
