Date,Weight,BMI,Fat %
2016-05-31,224,30.41,21.799
2016-06-01,224,30.41,21.799
2016-06-02,223.9,30.39,21.799
2016-06-03,223.8,30.38,21.799
2016-06-04,223.7,30.37,21.799
2016-06-05,223.6,30.35,21.799
2016-06-06,223.5,30.34,21.799
2016-06-07,223.4,30.33,21.799
2016-06-08,223.3,30.31,21.799
2016-06-09,223.2,30.3,21.799
2016-06-10,223.1,30.29,21.799
2016-06-11,223,30.27,21.799
2016-06-12,222.8,30.24,21.72
2016-06-13,222.6,30.22,21.641
2016-06-14,222.4,30.19,21.562
2016-06-15,222.2,30.16,21.483
2016-06-16,222,30.14,21.404
2016-06-17,221.81,30.11,21.325
2016-06-18,221.61,30.08,21.246
2016-06-19,221.41,30.06,21.167
2016-06-20,221.21,30.03,21.088
2016-06-21,221.01,30,21.009
2016-06-22,220.81,29.97,20.93
2016-06-23,220.62,29.95,20.851
2016-06-24,220.42,29.92,20.772
2016-06-25,220.22,29.89,20.693
2016-06-26,220,29.86,20.6
2016-06-27,219.8,29.84,20.6
2016-06-28,219.6,29.81,20.6
2016-06-29,219.4,29.78,20.6
2016-06-30,219.2,29.76,20.6
2016-07-01,219.29,29.77,20.899
2016-07-02,219.15,29.75,20.899
2016-07-03,219,29.73,20.899
2016-07-04,218.85,29.71,20.728
2016-07-05,218.71,29.69,20.557
2016-07-06,218.57,29.67,20.386
2016-07-07,218.43,29.65,20.215
2016-07-08,218.29,29.63,20.044
2016-07-09,218.15,29.61,19.873
2016-07-10,218,29.59,19.7
2016-07-11,218.05,29.6,19.837
2016-07-12,218.09,29.61,19.974
2016-07-13,218.14,29.61,20.111
2016-07-14,218.19,29.62,20.248
2016-07-15,218.24,29.62,20.385
2016-07-16,218.29,29.63,20.522
2016-07-17,218.34,29.64,20.659
2016-07-18,218.4,29.65,20.799
2016-07-19,217.91,29.58,20.616
2016-07-20,217.43,29.52,20.433
2016-07-21,216.95,29.45,20.25
2016-07-22,216.46,29.38,20.067
2016-07-23,215.98,29.32,19.884
2016-07-24,215.5,29.25,19.7
2016-07-25,215.25,29.22,19.757
2016-07-26,215.01,29.19,19.814
2016-07-27,214.77,29.15,19.871
2016-07-28,214.53,29.12,19.928
2016-07-29,214.28,29.09,19.985
2016-07-30,214.04,29.06,20.042
2016-07-31,213.8,29.02,20.1
2016-08-01,213.83,29.03,20.133
2016-08-02,213.86,29.03,20.166
2016-08-03,213.9,29.04,20.199
2016-08-04,213.93,29.04,20.232
2016-08-05,213.96,29.04,20.265
2016-08-06,214,29.05,20.299
2016-08-07,214,29.05,20.299
2016-08-08,214,29.05,20.299
2016-08-09,214,29.05,20.299
2016-08-10,214,29.05,20.299
