Date,Workout Volume (Rolling Avg)
6/4/2016,337170
6/6/2016,371780
6/8/2016,431975
6/10/2016,415928.5
6/11/2016,348907.0833
6/13/2016,312731.7857
6/16/2016,367703.4375
6/18/2016,373460.8333
6/22/2016,388448.75
6/23/2016,363915.2273
6/24/2016,339113.9583
6/25/2016,357618.6538
6/29/2016,360707.3214
6/30/2016,405785.1667
7/1/2016,404661.0938
7/2/2016,388772.2059
7/4/2016,376499.3056
7/5/2016,438760.3947
7/6/2016,442908.625
7/9/2016,426854.881
7/11/2016,433577.3864
7/14/2016,443854.0217
7/15/2016,431276.7708
7/16/2016,435854.3
7/18/2016,420824.5192
7/19/2016,460676.7593
7/25/2016,496372.2321
7/27/2016,486031.1207
8/2/2016,522746.5833
8/3/2016,508424.1129
8/6/2016,494379.6094
8/8/2016,487631.7424
8/9/2016,500663.75
8/10/2016,487594.0714
8/12/2016,487295.625
